L_hip_yaw_joint_cmd_deg,L_hip_yaw_joint_meas_deg,L_hip_yaw_joint_temp_c,L_knee_joint_cmd_deg,L_knee_joint_meas_deg,L_knee_joint_temp_c,t_s
0.0,34.17,36.0,60.0,140.96,3312.8,0.03
0.0,30.21,36.0,60.0,-154.92,3312.8,0.15
0.0,14.17,36.0,60.0,-26.3,855.2,0.27
0.0,-0.6,36.0,60.0,78.78,855.2,0.38
0.0,-4.27,36.0,60.0,147.62,855.2,0.51
0.0,-3.46,36.0,60.0,-168.9,855.2,0.62
0.0,-3.55,36.0,60.0,-132.33,855.2,0.73
0.0,-3.55,36.0,60.0,-123.18,855.2,0.85
0.0,-3.55,36.0,60.0,-122.79,855.2,1.0
0.0,-3.55,36.0,60.0,-122.79,855.2,1.13
0.0,-3.55,36.0,60.0,-122.79,855.2,1.24
0.0,-3.53,36.0,60.0,-122.79,855.2,1.36
0.0,-3.55,36.0,60.0,-122.79,855.2,1.51
0.0,-3.55,36.0,60.0,-122.79,855.2,1.63
0.0,-3.55,36.0,60.0,-122.79,855.2,1.78
0.0,-3.53,36.0,60.0,-122.79,855.2,1.92
0.0,-3.53,36.0,60.0,-122.79,855.2,2.03
0.0,-3.53,36.0,60.0,-122.79,855.2,2.16
0.0,-3.53,36.0,60.0,-122.79,855.2,2.28
0.0,-3.55,36.0,60.0,-122.79,855.2,2.42
0.0,-3.53,36.0,60.0,-122.79,855.2,2.54
0.0,-3.53,36.0,60.0,-122.79,855.2,2.65
0.0,-3.55,36.0,60.0,-122.79,855.2,2.77
0.0,-3.55,36.0,60.0,-122.79,855.2,2.9
0.0,-3.55,36.0,60.0,-122.79,855.2,3.03
0.0,-3.55,36.0,60.0,-122.79,855.2,3.16
0.0,-3.55,36.0,60.0,-122.79,855.2,3.27
0.0,-3.55,36.0,60.0,-122.79,855.2,3.4
0.0,-3.55,36.0,60.0,-122.79,855.2,3.52
0.0,-3.55,36.0,60.0,-122.79,855.2,3.64
0.0,-3.55,36.0,60.0,-122.79,855.2,3.78
0.0,-3.55,36.0,60.0,-122.79,855.2,3.9
0.0,-3.55,36.0,60.0,-122.79,855.2,4.04
0.0,-3.55,36.0,60.0,-122.79,855.2,4.17
0.0,-3.55,36.0,60.0,-122.79,855.2,4.31
0.0,-3.55,36.0,60.0,-122.79,855.2,4.47
0.0,-3.55,36.0,60.0,-122.79,855.2,4.57
0.0,-3.55,36.0,60.0,-122.79,855.2,4.7
0.0,-3.57,36.0,60.0,-122.79,855.2,4.83
0.0,-3.55,36.0,60.0,-122.79,855.2,4.96
0.0,-3.55,36.0,60.0,-122.79,855.2,5.11
0.0,-3.55,36.0,60.0,-122.79,855.2,5.25
0.0,-3.57,36.0,60.0,-122.79,855.2,5.37
0.0,-3.57,36.0,60.0,-122.79,855.2,5.52
0.0,-3.57,36.0,60.0,-122.79,855.2,5.65
0.0,-3.59,36.0,60.0,-122.79,855.2,5.79
0.0,-3.57,36.0,60.0,-122.79,855.2,5.92
0.0,-3.57,36.0,60.0,-122.79,855.2,6.05
0.0,-3.57,36.0,60.0,-122.79,855.2,6.17
0.0,-3.59,36.0,60.0,-122.79,855.2,6.3
0.0,-3.57,36.0,60.0,-122.79,855.2,6.43
0.0,-3.59,36.0,60.0,-122.79,855.2,6.57
0.0,-3.57,36.0,60.0,-122.79,855.2,6.7
0.0,-3.59,36.0,60.0,-122.79,855.2,6.81
0.0,-3.59,36.0,60.0,-122.79,855.2,6.96
0.0,-3.57,36.0,60.0,-122.79,855.2,7.1
0.0,-3.57,36.0,60.0,-122.79,855.2,7.25
0.0,-3.59,36.0,60.0,-122.79,855.2,7.36
0.0,-3.57,36.0,60.0,-122.79,855.2,7.5
0.0,-3.57,36.0,60.0,-122.79,855.2,7.62
0.0,-3.57,36.0,60.0,-122.79,855.2,7.75
0.0,-3.57,36.0,60.0,-122.79,855.2,7.88
0.0,-3.57,36.0,60.0,-122.79,855.2,7.99
0.0,-3.57,36.0,60.0,-122.79,855.2,8.13
0.0,-3.57,36.0,60.0,-122.79,855.2,8.26
0.0,-3.57,36.0,60.0,-122.79,855.2,8.38
0.0,-3.59,36.0,60.0,-122.79,855.2,8.49
0.0,-3.59,36.0,60.0,-122.79,855.2,8.62
0.0,-3.59,36.0,60.0,-122.79,855.2,8.75
0.0,-3.57,36.0,60.0,-122.79,855.2,8.88
0.0,-3.59,36.0,60.0,-122.79,855.2,9.02
0.0,-3.57,36.0,60.0,-122.79,855.2,9.13
0.0,-3.57,36.0,60.0,-122.79,855.2,9.24
0.0,-3.57,36.0,60.0,-122.79,855.2,9.35
0.0,-3.57,36.0,60.0,-122.79,855.2,9.46
0.0,-3.57,36.0,60.0,-122.79,855.2,9.58
0.0,-3.57,36.0,60.0,-122.79,855.2,9.7
0.0,-3.57,36.0,60.0,-122.79,855.2,9.82
0.0,-3.57,36.0,60.0,-122.79,855.2,9.94
0.0,-3.57,36.0,60.0,-122.79,855.2,10.07
0.0,-3.57,36.0,60.0,-122.79,855.2,10.19
0.0,-3.57,36.0,60.0,-122.79,855.2,10.3
0.0,-3.59,36.0,60.0,-122.79,855.2,10.43
0.0,-3.59,36.0,60.0,-122.79,855.2,10.55
0.0,-3.57,36.0,60.0,-122.79,855.2,10.68
0.0,-3.57,36.0,60.0,-122.79,855.2,10.81
0.0,-3.57,36.0,60.0,-122.79,855.2,10.94
0.0,-3.57,36.0,60.0,-122.79,855.2,11.05
0.0,-3.57,36.0,60.0,-122.79,855.2,11.17
0.0,-3.57,36.0,60.0,-122.79,855.2,11.28
0.0,-3.57,36.0,60.0,-122.79,855.2,11.39
0.0,-3.57,36.0,60.0,-122.79,855.2,11.51
0.0,-3.57,36.0,60.0,-122.79,855.2,11.63
0.0,-3.59,36.0,60.0,-122.79,855.2,11.74
0.0,-3.57,36.0,60.0,-122.79,855.2,11.86
0.0,-3.57,36.0,60.0,-122.79,855.2,11.99
0.0,-3.57,36.0,60.0,-122.79,855.2,12.12
0.0,-3.57,36.0,60.0,-122.79,855.2,12.24
0.0,-3.57,36.0,60.0,-122.79,855.2,12.36
0.0,-3.57,36.0,60.0,-122.79,855.2,12.49
0.0,-3.57,36.0,60.0,-122.79,855.2,12.63
0.0,-3.59,36.0,60.0,-122.79,855.2,12.75
0.0,-3.57,36.0,60.0,-122.79,855.2,12.88
0.0,-3.57,36.0,60.0,-122.79,855.2,13.0
0.0,-3.57,36.0,60.0,-122.79,855.2,13.12
0.0,-3.57,36.0,60.0,-122.79,855.2,13.25
0.0,-3.57,36.0,60.0,-122.79,855.2,13.37
0.0,-3.57,36.0,60.0,-122.79,855.2,13.47
0.0,-3.59,36.0,60.0,-122.79,855.2,13.58
0.0,-3.57,36.0,60.0,-122.79,855.2,13.73
0.0,-3.57,36.0,60.0,-122.79,855.2,13.84
0.0,-3.57,36.0,60.0,-122.79,855.2,13.96
0.0,-3.59,36.0,60.0,-122.79,855.2,14.09
0.0,-3.57,36.0,60.0,-122.79,855.2,14.21
0.0,-3.57,36.0,60.0,-122.79,855.2,14.33
0.0,-3.57,36.0,60.0,-122.79,855.2,14.45
0.0,-3.57,36.0,60.0,-122.79,855.2,14.57
0.0,-3.57,36.0,60.0,-122.79,855.2,14.7
0.0,-3.57,36.0,60.0,-122.79,855.2,14.81
0.0,-3.57,36.0,60.0,-122.79,855.2,14.95
1.43,-3.59,36.0,-117.79,-122.79,855.2,0.01
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.12
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.24
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.36
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.5
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.62
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.73
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.85
1.43,-3.57,36.0,-117.79,-122.79,855.2,0.97
1.43,-3.57,36.0,-117.79,-122.79,855.2,1.09
1.43,-3.57,36.0,-117.79,-122.79,855.2,1.23
1.43,-3.57,36.0,-117.79,-122.79,855.2,1.35
1.43,-3.57,36.0,-117.79,-122.79,855.2,1.49
1.43,-3.57,36.0,-117.79,-122.79,855.2,1.61
1.43,-3.57,36.0,-117.79,-122.79,855.2,1.73
