t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.0084,cmd,3,0.0549,,,0.00,0.00,
0.0084,cmd,4,18.9957,,,0.00,0.00,
0.0090,state,3,0.0549,3.078,-0.0733,,,37.0
0.0091,state,4,18.9957,-0.839,-0.0879,,,35.0
0.0183,cmd,3,0.0549,,,0.00,0.00,
0.0183,cmd,4,18.9957,,,0.00,0.00,
0.0189,state,3,0.0549,-1.959,-0.0147,,,37.0
0.0190,state,4,18.9957,-0.280,-0.0879,,,35.0
0.0283,cmd,3,0.0549,,,0.00,0.00,
0.0283,cmd,4,18.9957,,,0.00,0.00,
0.0289,state,3,0.0549,-1.959,-0.0147,,,37.0
0.0290,state,4,18.9957,-0.280,-0.0293,,,35.0
0.0383,cmd,3,0.0549,,,0.00,0.00,
0.0383,cmd,4,18.9957,,,0.00,0.00,
0.0389,state,3,0.0549,3.078,-0.0147,,,37.0
0.0390,state,4,18.9957,-2.518,-0.0879,,,35.0
0.0484,cmd,3,0.0549,,,0.00,0.00,
0.0484,cmd,4,18.9957,,,0.00,0.00,
0.0490,state,3,0.0549,-2.518,-0.0147,,,37.0
0.0491,state,4,18.9957,-3.078,-0.0879,,,35.0
0.0583,cmd,3,0.0549,,,0.00,0.00,
0.0583,cmd,4,18.9957,,,0.00,0.00,
0.0589,state,3,0.0549,0.839,-0.0147,,,37.0
0.0590,state,4,18.9957,2.518,-0.0293,,,35.0
0.0683,cmd,3,0.0549,,,0.00,0.00,
0.0684,cmd,4,18.9957,,,0.00,0.00,
0.0689,state,3,0.0549,6.996,-0.0440,,,37.0
0.0690,state,4,18.9957,-1.399,-0.0293,,,35.0
0.0783,cmd,3,0.0549,,,0.00,0.00,
0.0784,cmd,4,18.9957,,,0.00,0.00,
0.0789,state,3,0.0549,0.839,-0.0440,,,37.0
0.0791,state,4,18.9957,-1.399,-0.0879,,,35.0
0.0883,cmd,3,0.0549,,,0.00,0.00,
0.0884,cmd,4,18.9957,,,0.00,0.00,
0.0889,state,3,0.0549,5.317,-0.0147,,,37.0
0.0890,state,4,18.9957,-0.280,-0.0293,,,35.0
0.0984,cmd,3,0.0549,,,0.00,0.00,
0.0984,cmd,4,18.9957,,,0.00,0.00,
0.0988,state,3,0.0549,4.197,-0.0147,,,37.0
0.0991,state,4,18.9957,5.317,-0.0293,,,35.0
0.1084,cmd,3,0.0549,,,0.00,0.00,
0.1084,cmd,4,18.9957,,,0.00,0.00,
0.1089,state,3,0.0549,-1.399,-0.0440,,,37.0
0.1091,state,4,18.9957,-1.959,-0.0293,,,35.0
0.1183,cmd,3,0.0549,,,0.00,0.00,
0.1184,cmd,4,18.9957,,,0.00,0.00,
0.1188,state,3,0.0549,-0.280,-0.0147,,,37.0
0.1191,state,4,18.9957,0.839,-0.0293,,,35.0
0.1284,cmd,3,0.0549,,,0.00,0.00,
0.1284,cmd,4,18.9957,,,0.00,0.00,
0.1289,state,3,0.0549,-3.638,-0.0147,,,37.0
0.1290,state,4,18.9957,0.839,-0.0879,,,35.0
0.1384,cmd,3,0.0549,,,0.00,0.00,
0.1384,cmd,4,18.9957,,,0.00,0.00,
0.1390,state,3,0.0549,0.839,-0.0147,,,37.0
0.1391,state,4,18.9957,-0.280,-0.0293,,,35.0
0.1483,cmd,3,0.0549,,,0.00,0.00,
0.1483,cmd,4,18.9957,,,0.00,0.00,
0.1489,state,3,0.0549,7.555,-0.0147,,,37.0
0.1490,state,4,18.9957,1.399,-0.0293,,,35.0
0.1583,cmd,3,0.0549,,,0.00,0.00,
0.1584,cmd,4,18.9957,,,0.00,0.00,
0.1589,state,3,0.0549,-3.078,0.0147,,,37.0
0.1590,state,4,18.9957,-2.518,-0.0293,,,35.0
0.1684,cmd,3,0.0549,,,0.00,0.00,
0.1684,cmd,4,18.9957,,,0.00,0.00,
0.1690,state,3,0.0549,1.399,0.0147,,,37.0
0.1691,state,4,18.9957,2.518,-0.0879,,,35.0
0.1784,cmd,3,0.0549,,,0.00,0.00,
0.1784,cmd,4,18.9957,,,0.00,0.00,
0.1790,state,3,0.0549,-4.757,0.0147,,,37.0
0.1791,state,4,18.9957,-0.839,-0.0293,,,35.0
0.1884,cmd,3,0.0549,,,0.00,0.00,
0.1885,cmd,4,18.9957,,,0.00,0.00,
0.1890,state,3,0.0549,-4.197,-0.0147,,,37.0
0.1892,state,4,18.9957,0.839,-0.0879,,,35.0
0.1984,cmd,3,0.0549,,,0.00,0.00,
0.1984,cmd,4,18.9957,,,0.00,0.00,
0.1990,state,3,0.0549,-1.399,-0.0147,,,37.0
0.1991,state,4,18.9957,1.959,-0.0293,,,35.0
0.2083,cmd,3,0.0549,,,0.00,0.00,
0.2084,cmd,4,18.9957,,,0.00,0.00,
0.2089,state,3,0.0549,-0.839,-0.0147,,,37.0
0.2093,state,4,18.9957,-3.078,-0.0293,,,35.0
0.2183,cmd,3,0.0549,,,0.00,0.00,
0.2183,cmd,4,18.9957,,,0.00,0.00,
0.2188,state,3,0.0549,-1.959,-0.0440,,,37.0
0.2193,state,4,18.9957,-1.959,-0.0293,,,35.0
0.2284,cmd,3,0.0549,,,0.00,0.00,
0.2284,cmd,4,18.9957,,,0.00,0.00,
0.2290,state,3,0.0549,-3.078,-0.0147,,,37.0
0.2291,state,4,18.9957,0.839,-0.0879,,,35.0
0.2383,cmd,3,0.0549,,,0.00,0.00,
0.2383,cmd,4,18.9957,,,0.00,0.00,
0.2389,state,3,0.0549,0.839,0.0147,,,37.0
0.2390,state,4,18.9957,3.638,-0.0879,,,35.0
0.2483,cmd,3,0.0549,,,0.00,0.00,
0.2483,cmd,4,18.9957,,,0.00,0.00,
0.2489,state,3,0.0549,5.876,-0.0440,,,37.0
0.2493,state,4,18.9957,-0.280,-0.0879,,,35.0
0.2583,cmd,3,0.0549,,,0.00,0.00,
0.2583,cmd,4,18.9957,,,0.00,0.00,
0.2589,state,3,0.0549,3.078,-0.0440,,,37.0
0.2592,state,4,18.9957,1.959,-0.0293,,,35.0
0.2683,cmd,3,0.0549,,,0.00,0.00,
0.2684,cmd,4,18.9957,,,0.00,0.00,
0.2690,state,3,0.0549,2.518,-0.0440,,,37.0
