t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.0015,cmd,3,16.0513,,,0.00,0.00,
0.0016,cmd,4,32.2014,,,0.00,0.00,
0.0022,state,3,16.0513,-1.959,-0.0147,,,37.0
0.0023,state,4,32.2014,-4.757,-0.0293,,,36.0
0.0114,cmd,3,16.0513,,,0.00,0.00,
0.0115,cmd,4,32.2014,,,0.00,0.00,
0.0120,state,3,16.0513,-1.399,-0.0147,,,37.0
0.0121,state,4,32.2014,2.518,-0.0879,,,36.0
0.0213,cmd,3,16.0513,,,0.00,0.00,
0.0214,cmd,4,32.2014,,,0.00,0.00,
0.0219,state,3,16.0513,-3.638,0.0147,,,37.0
0.0220,state,4,32.2014,0.280,-0.0879,,,36.0
0.0313,cmd,3,16.0513,,,0.00,0.00,
0.0314,cmd,4,32.2014,,,0.00,0.00,
0.0320,state,3,16.0513,0.839,-0.0440,,,37.0
0.0320,state,4,32.2014,-3.078,-0.0293,,,36.0
0.0413,cmd,3,16.0513,,,0.00,0.00,
0.0413,cmd,4,32.2014,,,0.00,0.00,
0.0419,state,3,16.0513,1.959,-0.0147,,,37.0
0.0420,state,4,32.2014,-3.638,-0.0293,,,36.0
0.0513,cmd,3,16.0513,,,0.00,0.00,
0.0513,cmd,4,32.2014,,,0.00,0.00,
0.0519,state,3,16.0513,-4.197,-0.0440,,,37.0
0.0520,state,4,32.2014,-3.078,-0.0879,,,36.0
0.0614,cmd,3,16.0513,,,0.00,0.00,
0.0614,cmd,4,32.2014,,,0.00,0.00,
0.0620,state,3,16.0513,4.757,-0.0147,,,37.0
0.0621,state,4,32.2014,2.518,-0.0293,,,36.0
0.0713,cmd,3,16.0513,,,0.00,0.00,
0.0713,cmd,4,32.2014,,,0.00,0.00,
0.0719,state,3,16.0513,-0.280,-0.0147,,,37.0
0.0720,state,4,32.2014,-2.518,-0.0879,,,36.0
0.0813,cmd,3,16.0513,,,0.00,0.00,
0.0814,cmd,4,32.2014,,,0.00,0.00,
0.0819,state,3,16.0513,0.839,-0.0147,,,37.0
0.0820,state,4,32.2014,3.078,-0.0293,,,36.0
0.0913,cmd,3,16.0513,,,0.00,0.00,
0.0913,cmd,4,32.2014,,,0.00,0.00,
0.0919,state,3,16.0513,5.876,-0.0440,,,37.0
0.0920,state,4,32.2234,3.078,-0.0293,,,36.0
0.1012,cmd,3,16.0513,,,0.00,0.00,
0.1013,cmd,4,32.2014,,,0.00,0.00,
0.1018,state,3,16.0513,-1.399,-0.0147,,,37.0
0.1020,state,4,32.2234,4.757,-0.0879,,,36.0
0.1113,cmd,3,16.0513,,,0.00,0.00,
0.1113,cmd,4,32.2234,,,0.00,0.00,
0.1119,state,3,16.0513,-1.959,-0.0147,,,37.0
0.1120,state,4,32.2014,-5.317,-0.0879,,,36.0
0.1213,cmd,3,16.0513,,,0.00,0.00,
0.1213,cmd,4,32.2234,,,0.00,0.00,
0.1219,state,3,16.0513,-4.757,0.0147,,,37.0
0.1220,state,4,32.2014,-4.197,-0.0293,,,36.0
0.1313,cmd,3,16.0513,,,0.00,0.00,
0.1313,cmd,4,32.2014,,,0.00,0.00,
0.1319,state,3,16.0513,-2.518,-0.0147,,,37.0
0.1320,state,4,32.2014,1.399,-0.0293,,,36.0
0.1413,cmd,3,16.0513,,,0.00,0.00,
0.1413,cmd,4,32.2014,,,0.00,0.00,
0.1419,state,3,16.0513,2.518,-0.0147,,,37.0
0.1420,state,4,32.2014,-1.399,-0.0293,,,36.0
0.1513,cmd,3,16.0513,,,0.00,0.00,
0.1513,cmd,4,32.2014,,,0.00,0.00,
0.1519,state,3,16.0513,0.839,-0.0147,,,37.0
0.1520,state,4,32.2014,-1.399,-0.0293,,,36.0
0.1613,cmd,3,16.0513,,,0.00,0.00,
0.1613,cmd,4,32.2014,,,0.00,0.00,
0.1619,state,3,16.0513,2.518,-0.0147,,,37.0
0.1620,state,4,32.2014,2.518,-0.0293,,,36.0
0.1713,cmd,3,16.0513,,,0.00,0.00,
0.1713,cmd,4,32.2014,,,0.00,0.00,
0.1719,state,3,16.0513,1.399,-0.0147,,,37.0
0.1720,state,4,32.2014,5.876,-0.0879,,,36.0
0.1814,cmd,3,16.0513,,,0.00,0.00,
0.1814,cmd,4,32.2014,,,0.00,0.00,
0.1820,state,3,16.0513,3.078,-0.0440,,,37.0
0.1821,state,4,32.2014,-6.436,-0.0293,,,36.0
0.1913,cmd,3,16.0513,,,0.00,0.00,
0.1914,cmd,4,32.2014,,,0.00,0.00,
0.1919,state,3,16.0513,-4.197,0.0147,,,37.0
0.1920,state,4,32.2014,-2.518,-0.0879,,,36.0
0.2013,cmd,3,16.0513,,,0.00,0.00,
0.2013,cmd,4,32.2014,,,0.00,0.00,
0.2019,state,3,16.0513,-1.959,-0.0440,,,37.0
0.2020,state,4,32.2014,1.959,-0.0293,,,36.0
0.2114,cmd,3,16.0513,,,0.00,0.00,
0.2114,cmd,4,32.2014,,,0.00,0.00,
0.2120,state,3,16.0513,-0.280,-0.0440,,,37.0
0.2121,state,4,32.2014,-1.399,-0.0879,,,36.0
0.2213,cmd,3,16.0513,,,0.00,0.00,
0.2213,cmd,4,32.2014,,,0.00,0.00,
0.2219,state,3,16.0513,-1.959,-0.0733,,,37.0
0.2220,state,4,32.2014,1.959,-0.0293,,,36.0
0.2314,cmd,3,16.0513,,,0.00,0.00,
0.2314,cmd,4,32.2014,,,0.00,0.00,
0.2320,state,3,16.0513,-3.078,-0.0147,,,37.0
0.2321,state,4,32.2014,0.839,-0.0879,,,36.0
0.2413,cmd,3,16.0513,,,0.00,0.00,
0.2414,cmd,4,32.2014,,,0.00,0.00,
0.2420,state,3,16.0513,-6.436,-0.0147,,,37.0
0.2421,state,4,32.2014,-3.638,-0.0293,,,36.0
0.2513,cmd,3,16.0513,,,0.00,0.00,
0.2513,cmd,4,32.2014,,,0.00,0.00,
0.2519,state,3,16.0513,-1.959,-0.0733,,,37.0
0.2520,state,4,32.2014,5.876,-0.0293,,,36.0
0.2613,cmd,3,16.0513,,,0.00,0.00,
0.2613,cmd,4,32.2014,,,0.00,0.00,
0.2619,state,3,16.0513,-2.518,-0.0147,,,37.0
0.2620,state,4,32.2014,-4.197,-0.0879,,,36.0
0.2714,cmd,3,16.0513,,,0.00,0.00,
0.2714,cmd,4,32.2014,,,0.00,0.00,
0.2721,state,3,16.0513,-0.839,-0.0440,,,37.0
0.2721,state,4,32.2014,1.959,-0.0293,,,36.0
0.2813,cmd,3,16.0513,,,0.00,0.00,
0.2813,cmd,4,32.2014,,,0.00,0.00,
0.2819,state,3,16.0513,-8.115,-0.0147,,,37.0
0.2820,state,4,32.2014,-0.839,-0.0293,,,36.0
0.2913,cmd,3,16.0513,,,0.00,0.00,
0.2913,cmd,4,32.2014,,,0.00,0.00,
0.2919,state,3,16.0513,6.996,-0.0147,,,37.0
0.2920,state,4,32.2014,0.280,-0.0879,,,36.0
0.3013,cmd,3,16.0513,,,0.00,0.00,
0.3013,cmd,4,32.2014,,,0.00,0.00,
0.3020,state,3,16.0513,3.078,-0.0440,,,37.0
0.3020,state,4,32.2014,-0.839,-0.0293,,,36.0
0.3113,cmd,3,16.0513,,,0.00,0.00,
0.3113,cmd,4,32.2014,,,0.00,0.00,
0.3119,state,3,16.0513,-0.839,-0.0147,,,37.0
0.3120,state,4,32.2014,-0.280,-0.0879,,,36.0
0.3213,cmd,3,16.0513,,,0.00,0.00,
0.3213,cmd,4,32.2014,,,0.00,0.00,
0.3219,state,3,16.0513,-1.399,0.0147,,,37.0
0.3220,state,4,32.2014,2.518,-0.0879,,,36.0
0.3314,cmd,3,16.0513,,,0.00,0.00,
0.3314,cmd,4,32.2014,,,0.00,0.00,
0.3321,state,3,16.0513,5.876,-0.0440,,,37.0
0.3321,state,4,32.2014,-1.959,-0.0293,,,36.0
0.3413,cmd,3,16.0513,,,0.00,0.00,
0.3413,cmd,4,32.2014,,,0.00,0.00,
0.3420,state,3,16.0513,-4.197,-0.0147,,,37.0
0.3420,state,4,32.2014,1.959,-0.0293,,,36.0
0.3513,cmd,3,16.0513,,,0.00,0.00,
0.3513,cmd,4,32.2014,,,0.00,0.00,
0.3519,state,3,16.0513,4.757,-0.0147,,,37.0
0.3520,state,4,32.2014,5.317,-0.0293,,,36.0
0.3613,cmd,3,16.0513,,,0.00,0.00,
0.3613,cmd,4,32.2014,,,0.00,0.00,
0.3619,state,3,16.0513,0.280,-0.0733,,,37.0
0.3620,state,4,32.2014,-3.638,-0.0879,,,36.0
0.3713,cmd,3,16.0513,,,0.00,0.00,
0.3713,cmd,4,32.2014,,,0.00,0.00,
0.3719,state,3,16.0513,-10.913,-0.0440,,,37.0
0.3720,state,4,32.2014,3.638,-0.0293,,,36.0
0.3813,cmd,3,16.0513,,,0.00,0.00,
0.3813,cmd,4,32.2014,,,0.00,0.00,
0.3819,state,3,16.0513,-3.638,-0.0147,,,37.0
0.3820,state,4,32.2014,-2.518,-0.0879,,,36.0
0.3913,cmd,3,16.0513,,,0.00,0.00,
0.3913,cmd,4,32.2014,,,0.00,0.00,
0.3919,state,3,16.0513,0.280,0.0147,,,37.0
0.3921,state,4,32.2014,1.399,-0.0879,,,36.0
0.4013,cmd,3,16.0513,,,0.00,0.00,
0.4013,cmd,4,32.2014,,,0.00,0.00,
0.4019,state,3,16.0513,1.959,-0.0440,,,37.0
0.4020,state,4,32.2014,1.959,-0.0879,,,36.0
0.4114,cmd,3,16.0513,,,0.00,0.00,
0.4115,cmd,4,32.2014,,,0.00,0.00,
0.4121,state,3,16.0513,-3.638,0.0147,,,37.0
0.4121,state,4,32.2014,-2.518,-0.0293,,,36.0
0.4214,cmd,3,16.0513,,,0.00,0.00,
0.4214,cmd,4,32.2014,,,0.00,0.00,
0.4220,state,3,16.0513,0.280,-0.0147,,,37.0
0.4221,state,4,32.2014,-0.280,-0.0879,,,36.0
0.4314,cmd,3,16.0513,,,0.00,0.00,
0.4314,cmd,4,32.2014,,,0.00,0.00,
0.4320,state,3,16.0513,-3.638,-0.0147,,,37.0
0.4321,state,4,32.2014,1.959,-0.0293,,,36.0
0.4413,cmd,3,16.0513,,,0.00,0.00,
0.4414,cmd,4,32.2014,,,0.00,0.00,
0.4420,state,3,16.0513,-2.518,-0.0147,,,37.0
0.4421,state,4,32.2014,0.280,-0.0879,,,36.0
0.4514,cmd,3,16.0513,,,0.00,0.00,
0.4514,cmd,4,32.2014,,,0.00,0.00,
0.4521,state,3,16.0513,-5.317,-0.0147,,,37.0
0.4521,state,4,32.2014,-0.280,-0.0879,,,36.0
0.4614,cmd,3,16.0513,,,0.00,0.00,
0.4614,cmd,4,32.2014,,,0.00,0.00,
0.4620,state,3,16.0513,-0.839,-0.0147,,,37.0
0.4621,state,4,32.2014,-0.839,-0.0879,,,36.0
0.4715,cmd,3,16.0513,,,0.00,0.00,
0.4715,cmd,4,32.2014,,,0.00,0.00,
0.4721,state,3,16.0513,0.280,0.0147,,,37.0
0.4721,state,4,32.2014,-2.518,-0.0293,,,36.0
0.4815,cmd,3,16.0513,,,0.00,0.00,
0.4815,cmd,4,32.2014,,,0.00,0.00,
0.4820,state,3,16.0513,-5.317,-0.0147,,,37.0
0.4821,state,4,32.2014,-3.078,-0.0879,,,36.0
0.4914,cmd,3,16.0513,,,0.00,0.00,
0.4914,cmd,4,32.2014,,,0.00,0.00,
0.4921,state,3,16.0513,-1.959,0.0147,,,37.0
0.4921,state,4,32.2014,0.839,-0.0879,,,36.0
0.5015,cmd,3,16.0513,,,0.00,0.00,
0.5015,cmd,4,32.2014,,,0.00,0.00,
0.5020,state,3,16.0513,2.518,0.0147,,,37.0
0.5021,state,4,32.2014,0.839,-0.0879,,,36.0
0.5114,cmd,3,16.0513,,,0.00,0.00,
0.5115,cmd,4,32.2014,,,0.00,0.00,
0.5120,state,3,16.0513,3.638,-0.0147,,,37.0
0.5121,state,4,32.2014,0.280,-0.0879,,,36.0
0.5214,cmd,3,16.0513,,,0.00,0.00,
0.5214,cmd,4,32.2014,,,0.00,0.00,
0.5219,state,3,16.0513,-0.280,-0.0440,,,37.0
0.5220,state,4,32.2014,-4.757,-0.0879,,,36.0
0.5314,cmd,3,16.0513,,,0.00,0.00,
0.5314,cmd,4,32.2014,,,0.00,0.00,
0.5320,state,3,16.0513,5.317,-0.0147,,,37.0
0.5321,state,4,32.2234,1.959,-0.0879,,,36.0
0.5414,cmd,3,16.0513,,,0.00,0.00,
0.5414,cmd,4,32.2014,,,0.00,0.00,
0.5420,state,3,16.0513,0.280,-0.0147,,,37.0
0.5421,state,4,32.2014,-4.757,-0.0879,,,36.0
0.5516,cmd,3,16.0513,,,0.00,0.00,
0.5516,cmd,4,32.2234,,,0.00,0.00,
0.5521,state,3,16.0513,1.399,-0.0440,,,37.0
0.5523,state,4,32.2014,-8.675,-0.0293,,,36.0
