t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.0003,state,3,31.9597,-1.399,-0.0733,,,31.0
0.0005,state,4,45.6489,3.638,-0.1465,,,30.0
0.0097,cmd,3,31.9597,,,79.37,2.98,
0.0098,cmd,4,45.6269,,,79.37,2.98,
0.0102,state,3,31.9597,-7.555,-0.1026,,,31.0
0.0105,state,4,45.6489,1.399,-0.0879,,,30.0
0.0199,cmd,3,31.9597,,,79.37,2.98,
0.0199,cmd,4,45.6269,,,79.37,2.98,
0.0204,state,3,31.9597,-0.839,-0.0733,,,31.0
0.0204,state,4,45.6489,1.399,-0.0879,,,30.0
0.0297,cmd,3,31.9597,,,79.37,2.98,
0.0298,cmd,4,45.6269,,,79.37,2.98,
0.0302,state,3,31.9597,1.959,-0.0733,,,31.0
0.0304,state,4,45.6489,0.839,-0.1465,,,30.0
0.0398,cmd,3,31.9597,,,79.37,2.98,
0.0398,cmd,4,45.6269,,,79.37,2.98,
0.0401,state,3,31.9597,1.959,-0.0147,,,31.0
0.0404,state,4,45.6489,-3.078,-0.0879,,,30.0
0.0497,cmd,3,31.9597,,,79.37,2.98,
0.0497,cmd,4,45.6269,,,79.37,2.98,
0.0503,state,3,31.9597,-0.839,-0.0440,,,31.0
0.0504,state,4,45.6489,4.757,-0.0879,,,30.0
0.0597,cmd,3,31.9597,,,79.37,2.98,
0.0597,cmd,4,45.6269,,,79.37,2.98,
0.0602,state,3,31.9597,-5.317,-0.0733,,,31.0
0.0603,state,4,45.6489,-1.399,-0.0879,,,30.0
0.0696,cmd,3,31.9597,,,79.37,2.98,
0.0697,cmd,4,45.6269,,,79.37,2.98,
0.0703,state,3,31.9597,0.280,-0.0440,,,31.0
0.0703,state,4,45.6489,-0.839,-0.1465,,,30.0
0.0798,cmd,3,31.9597,,,79.37,2.98,
0.0798,cmd,4,45.6269,,,79.37,2.98,
0.0803,state,3,31.9597,4.757,-0.0147,,,31.0
0.0804,state,4,45.6489,0.839,-0.1465,,,30.0
0.0896,cmd,3,31.9597,,,79.37,2.98,
0.0896,cmd,4,45.6269,,,79.37,2.98,
0.0902,state,3,31.9597,-2.518,-0.1026,,,31.0
0.0903,state,4,45.6489,-0.280,-0.1465,,,30.0
0.0996,cmd,3,31.9597,,,79.37,2.98,
0.0996,cmd,4,45.6269,,,79.37,2.98,
0.1002,state,3,31.9597,-10.913,-0.0440,,,31.0
0.1003,state,4,45.6489,0.280,-0.0293,,,30.0
0.1097,cmd,3,31.9597,,,79.37,2.98,
0.1097,cmd,4,45.6269,,,79.37,2.98,
0.1102,state,3,31.9597,0.280,-0.0440,,,31.0
0.1103,state,4,45.6489,-2.518,-0.1465,,,30.0
0.1197,cmd,3,31.9597,,,79.37,2.98,
0.1197,cmd,4,45.6269,,,79.37,2.98,
0.1202,state,3,31.9597,5.876,-0.0440,,,31.0
0.1203,state,4,45.6489,2.518,-0.0879,,,30.0
0.1297,cmd,3,31.9597,,,79.37,2.98,
0.1297,cmd,4,45.6269,,,79.37,2.98,
0.1302,state,3,31.9597,5.317,-0.0147,,,31.0
0.1303,state,4,45.6489,1.959,-0.0879,,,30.0
0.1398,cmd,3,31.9597,,,79.37,2.98,
0.1398,cmd,4,45.6269,,,79.37,2.98,
0.1403,state,3,31.9597,4.197,-0.0733,,,31.0
0.1404,state,4,45.6489,-4.757,-0.0879,,,30.0
