t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.0022,cmd,3,32.0256,,,0.00,0.00,
0.0022,cmd,4,46.3520,,,0.00,0.00,
0.0028,state,3,32.0256,-0.839,0.0147,,,31.0
0.0029,state,4,46.3740,1.959,-0.0293,,,30.0
0.0122,cmd,3,32.0256,,,0.00,0.00,
0.0123,cmd,4,46.3740,,,0.00,0.00,
0.0127,state,3,32.0256,2.518,-0.0147,,,31.0
0.0132,state,4,46.3520,-1.399,0.0293,,,29.0
0.0225,cmd,3,32.0256,,,0.00,0.00,
0.0225,cmd,4,46.3740,,,0.00,0.00,
0.0229,state,3,32.0256,-4.197,-0.0440,,,31.0
0.0232,state,4,46.3740,-2.518,-0.0293,,,30.0
0.0324,cmd,3,32.0256,,,0.00,0.00,
0.0324,cmd,4,46.3520,,,0.00,0.00,
0.0328,state,3,32.0256,-0.280,-0.0440,,,31.0
0.0330,state,4,46.3740,3.078,-0.0879,,,30.0
0.0422,cmd,3,32.0256,,,0.00,0.00,
0.0422,cmd,4,46.3740,,,0.00,0.00,
0.0428,state,3,32.0256,3.078,-0.0440,,,31.0
0.0429,state,4,46.3740,2.518,-0.0879,,,29.0
0.0522,cmd,3,32.0256,,,0.00,0.00,
0.0522,cmd,4,46.3740,,,0.00,0.00,
0.0527,state,3,32.0256,-0.839,-0.0147,,,31.0
0.0528,state,4,46.3520,-1.399,-0.1465,,,29.0
0.0622,cmd,3,32.0256,,,0.00,0.00,
0.0622,cmd,4,46.3740,,,0.00,0.00,
0.0627,state,3,32.0256,-1.399,-0.0440,,,31.0
0.0629,state,4,46.3740,4.757,-0.0879,,,30.0
0.0722,cmd,3,32.0256,,,0.00,0.00,
0.0722,cmd,4,46.3520,,,0.00,0.00,
0.0727,state,3,32.0256,1.959,-0.0147,,,31.0
0.0729,state,4,46.3740,-0.280,-0.0879,,,29.0
0.0822,cmd,3,32.0256,,,0.00,0.00,
0.0823,cmd,4,46.3740,,,0.00,0.00,
0.0828,state,3,32.0256,-3.638,-0.0440,,,31.0
0.0832,state,4,46.3520,-0.280,-0.0879,,,29.0
0.0923,cmd,3,32.0256,,,0.00,0.00,
0.0924,cmd,4,46.3740,,,0.00,0.00,
0.0928,state,3,32.0256,8.115,-0.0147,,,31.0
0.0935,state,4,46.3520,1.399,-0.0879,,,30.0
0.1022,cmd,3,32.0256,,,0.00,0.00,
0.1022,cmd,4,46.3520,,,0.00,0.00,
0.1028,state,3,32.0256,0.280,-0.0440,,,31.0
0.1029,state,4,46.3520,-1.399,-0.0879,,,29.0
0.1122,cmd,3,32.0256,,,0.00,0.00,
0.1122,cmd,4,46.3520,,,0.00,0.00,
0.1128,state,3,32.0256,0.839,-0.0147,,,31.0
0.1129,state,4,46.3740,2.518,-0.0879,,,29.0
0.1227,cmd,3,32.0256,,,0.00,0.00,
0.1228,cmd,4,46.3520,,,0.00,0.00,
0.1233,state,3,32.0256,0.839,-0.0147,,,31.0
0.1234,state,4,46.3740,5.317,-0.0879,,,30.0
0.1324,cmd,3,32.0256,,,0.00,0.00,
0.1324,cmd,4,46.3740,,,0.00,0.00,
0.1329,state,3,32.0256,-3.638,-0.0440,,,31.0
0.1330,state,4,46.3520,0.839,-0.0879,,,29.0
0.1423,cmd,3,32.0256,,,0.00,0.00,
0.1423,cmd,4,46.3740,,,0.00,0.00,
0.1429,state,3,32.0256,-1.399,-0.0733,,,31.0
0.1430,state,4,46.3740,-1.399,-0.0293,,,30.0
0.1523,cmd,3,32.0256,,,0.00,0.00,
0.1523,cmd,4,46.3520,,,0.00,0.00,
0.1527,state,3,32.0037,-10.913,-0.0733,,,31.0
0.1529,state,4,46.3740,-1.399,-0.0879,,,30.0
0.1623,cmd,3,32.0256,,,0.00,0.00,
0.1624,cmd,4,46.3740,,,0.00,0.00,
0.1628,state,3,32.0256,-4.197,-0.0733,,,31.0
0.1630,state,4,46.3740,-0.280,-0.0879,,,29.0
0.1723,cmd,3,32.0037,,,0.00,0.00,
0.1723,cmd,4,46.3740,,,0.00,0.00,
0.1728,state,3,32.0256,-3.638,-0.0733,,,31.0
0.1730,state,4,46.3740,3.078,-0.0879,,,29.0
0.1821,cmd,3,32.0256,,,0.00,0.00,
0.1821,cmd,4,46.3740,,,0.00,0.00,
0.1827,state,3,32.0256,1.959,-0.1026,,,31.0
0.1828,state,4,46.3740,1.399,-0.0293,,,30.0
0.1923,cmd,3,32.0256,,,0.00,0.00,
0.1924,cmd,4,46.3740,,,0.00,0.00,
0.1929,state,3,32.0256,0.280,-0.0147,,,31.0
0.1930,state,4,46.3520,1.959,-0.0879,,,29.0
0.2022,cmd,3,32.0256,,,0.00,0.00,
0.2022,cmd,4,46.3740,,,0.00,0.00,
0.2028,state,3,32.0256,2.518,-0.0147,,,31.0
0.2029,state,4,46.3740,1.399,-0.0293,,,29.0
0.2121,cmd,3,32.0256,,,0.00,0.00,
0.2121,cmd,4,46.3520,,,0.00,0.00,
0.2127,state,3,32.0256,-0.280,-0.0147,,,31.0
0.2128,state,4,46.3740,-1.399,0.0293,,,29.0
0.2222,cmd,3,32.0256,,,0.00,0.00,
0.2223,cmd,4,46.3740,,,0.00,0.00,
0.2228,state,3,32.0256,-2.518,-0.0440,,,31.0
0.2229,state,4,46.3740,4.757,-0.0879,,,30.0
0.2322,cmd,3,32.0256,,,0.00,0.00,
0.2322,cmd,4,46.3740,,,0.00,0.00,
0.2328,state,3,32.0256,-0.280,-0.0440,,,31.0
0.2329,state,4,46.3520,2.518,-0.0293,,,29.0
0.2422,cmd,3,32.0256,,,0.00,0.00,
0.2423,cmd,4,46.3740,,,0.00,0.00,
0.2428,state,3,32.0256,0.839,-0.0147,,,31.0
0.2429,state,4,46.3520,-2.518,-0.0293,,,29.0
0.2524,cmd,3,32.0256,,,0.00,0.00,
0.2524,cmd,4,46.3520,,,0.00,0.00,
0.2528,state,3,32.0256,5.876,-0.0733,,,31.0
0.2535,state,4,46.3740,1.959,-0.0293,,,29.0
0.2622,cmd,3,32.0256,,,0.00,0.00,
0.2623,cmd,4,46.3520,,,0.00,0.00,
0.2628,state,3,32.0256,-4.197,-0.0440,,,31.0
0.2629,state,4,46.3520,-0.280,-0.0879,,,30.0
0.2722,cmd,3,32.0256,,,0.00,0.00,
0.2723,cmd,4,46.3740,,,0.00,0.00,
0.2728,state,3,32.0256,1.959,-0.0147,,,31.0
0.2729,state,4,46.3520,-4.197,-0.0293,,,29.0
0.2822,cmd,3,32.0256,,,0.00,0.00,
0.2822,cmd,4,46.3520,,,0.00,0.00,
0.2828,state,3,32.0256,6.436,0.0147,,,31.0
0.2829,state,4,46.3520,-5.317,-0.0879,,,29.0
0.2924,cmd,3,32.0256,,,0.00,0.00,
0.2924,cmd,4,46.3520,,,0.00,0.00,
0.2929,state,3,32.0256,-2.518,-0.0147,,,31.0
0.2931,state,4,46.3520,-1.399,-0.0293,,,30.0
0.3022,cmd,3,32.0256,,,0.00,0.00,
0.3023,cmd,4,46.3520,,,0.00,0.00,
0.3027,state,3,32.0256,-6.436,-0.0440,,,31.0
