t_s,knee_cmd_deg,knee_meas_deg,knee_temp_reported,hipyaw_meas_deg,hipyaw_temp_reported
0.0,100.0,141.4,853.2,35.05,34.0
0.18,108.22,141.4,853.2,35.05,34.0
0.3,112.21,141.4,853.2,35.05,34.0
0.41,114.45,141.4,853.2,35.05,34.0
0.53,114.94,141.4,853.2,35.05,34.0
0.64,113.49,141.4,853.2,35.05,34.0
0.75,110.53,141.4,853.2,35.05,34.0
0.87,106.06,141.4,853.2,35.05,34.0
0.99,100.65,141.4,853.2,35.02,34.0
1.1,95.55,141.4,853.2,35.05,34.0
1.21,90.97,141.4,853.2,35.05,34.0
1.32,87.44,141.4,853.2,35.05,34.0
1.42,85.46,141.4,853.2,35.05,34.0
1.54,85.09,141.4,853.2,35.05,34.0
1.65,86.56,141.4,853.2,35.05,34.0
1.75,89.44,141.4,853.2,35.02,34.0
1.86,93.47,141.4,853.2,35.05,34.0
1.97,98.47,141.4,853.2,35.02,34.0
2.08,103.72,141.4,853.2,35.05,34.0
2.19,108.41,141.4,853.2,35.05,34.0
2.3,112.01,141.4,853.2,35.05,34.0
2.4,114.31,141.4,853.2,35.05,34.0
2.51,115.0,141.4,853.2,35.05,34.0
2.62,113.99,141.4,853.2,35.05,34.0
2.72,111.51,141.4,853.2,35.05,34.0
2.83,107.64,141.4,853.2,35.02,34.0
2.93,103.08,141.4,853.2,35.05,34.0
3.04,98.09,141.4,853.2,35.05,34.0
3.16,92.88,141.4,853.2,35.05,34.0
3.26,88.93,141.4,853.2,35.02,34.0
3.38,86.1,141.4,853.2,35.05,34.0
3.48,85.03,141.4,853.2,35.05,34.0
3.59,85.63,141.4,853.2,35.05,34.0
3.7,87.78,141.4,853.2,35.05,34.0
3.81,91.47,141.4,853.2,35.05,34.0
3.91,95.95,141.4,853.2,35.05,34.0
4.02,100.97,141.4,853.2,35.05,34.0
4.13,106.03,141.4,853.2,35.05,34.0
4.24,110.32,141.4,853.2,35.02,34.0
4.36,113.56,141.4,853.2,35.05,34.0
4.47,114.92,141.4,853.2,35.05,34.0
4.58,114.58,141.4,853.2,35.02,34.0
4.68,112.6,141.4,853.2,35.05,34.0
4.79,109.04,141.4,853.2,35.05,34.0
4.9,104.73,141.4,853.2,35.05,34.0
5.01,99.58,141.4,853.2,35.05,34.0
5.11,94.81,141.4,853.2,35.05,34.0
5.22,90.38,141.4,853.2,35.05,34.0
5.34,86.84,141.4,853.2,35.05,34.0
5.45,85.21,141.4,853.2,35.05,34.0
5.56,85.23,141.4,853.2,35.05,34.0
5.67,86.99,141.4,853.2,35.05,34.0
5.78,90.58,141.4,853.2,35.05,34.0
5.89,94.86,141.4,853.2,35.05,34.0
6.0,100.1,141.4,853.2,35.05,34.0
6.11,105.2,141.43,853.2,35.05,34.0
6.23,109.79,141.4,853.2,35.05,34.0
6.33,113.0,141.4,853.2,35.05,34.0
6.44,114.75,141.4,853.2,35.05,34.0
6.56,114.78,141.4,853.2,35.02,34.0
6.66,113.1,141.4,853.2,35.05,34.0
6.77,110.03,141.4,853.2,35.05,34.0
6.87,105.75,141.4,853.2,35.02,34.0
6.99,100.65,141.4,853.2,35.05,34.0
7.1,95.54,141.4,853.2,35.05,34.0
7.21,90.96,141.4,853.2,35.05,34.0
