dataset,comp,unit,p1,p50,p99,min,max,n
_a0check,Fx,N,-46.8,-0.5,42.7,-58.7,58.5,2040
_a0check,Fy,N,-37.7,1.0,40.0,-41.5,82.0,2040
_a0check,Fz,N,-370.7,-164.5,45.3,-383.2,66.8,2040
_a0check,Tx,Nm,-28.8,-1.8,31.8,-31.4,34.5,2040
_a0check,Ty,Nm,-22.9,0.5,20.8,-30.1,26.0,2040
_a0check,Tz,Nm,-5.6,-0.0,5.8,-11.3,16.7,2040
a0_characterize,Fx,N,-79.0,0.3,72.2,-232.7,346.0,7200
a0_characterize,Fy,N,-74.4,0.8,73.6,-252.2,281.9,7200
a0_characterize,Fz,N,-479.1,-165.4,94.3,-1086.9,137.0,7200
a0_characterize,Tx,Nm,-33.7,0.9,34.2,-81.5,76.6,7200
a0_characterize,Ty,Nm,-26.2,0.7,25.9,-95.1,89.5,7200
a0_characterize,Tz,Nm,-6.7,-0.0,7.3,-34.9,29.7,7200
a1_eval,Fx,N,-139.0,-0.4,142.0,-495.6,545.0,7200
a1_eval,Fy,N,-140.1,0.6,139.9,-347.7,699.5,7200
a1_eval,Fz,N,-758.5,-160.3,252.5,-1379.8,431.5,7200
a1_eval,Tx,Nm,-72.4,2.2,74.5,-137.2,179.8,7200
a1_eval,Ty,Nm,-68.3,-1.5,69.2,-125.8,150.9,7200
a1_eval,Tz,Nm,-17.3,-0.1,18.3,-61.9,65.3,7200
a1b_1500,Fx,N,-221.9,0.1,199.4,-493.8,553.5,7200
a1b_1500,Fy,N,-223.9,1.2,179.8,-509.0,434.4,7200
a1b_1500,Fz,N,-899.6,-106.0,184.0,-1457.9,538.2,7200
a1b_1500,Tx,Nm,-91.3,1.1,89.7,-157.3,161.4,7200
a1b_1500,Ty,Nm,-94.5,0.5,102.1,-174.1,158.2,7200
a1b_1500,Tz,Nm,-24.0,-0.1,23.6,-88.2,53.0,7200
a1b_3000,Fx,N,-172.1,-0.5,166.2,-450.3,462.1,7200
a1b_3000,Fy,N,-158.5,-0.1,173.9,-369.2,442.2,7200
a1b_3000,Fz,N,-848.3,-152.6,172.6,-1201.9,399.8,7200
a1b_3000,Tx,Nm,-95.1,2.6,85.6,-135.8,159.2,7200
a1b_3000,Ty,Nm,-93.2,1.5,95.0,-155.4,143.6,7200
a1b_3000,Tz,Nm,-19.7,-0.2,24.1,-46.2,47.9,7200
a1b_eval,Fx,N,-135.4,-0.1,134.6,-438.5,497.6,7200
a1b_eval,Fy,N,-122.2,-0.5,129.5,-245.3,468.7,7200
a1b_eval,Fz,N,-760.5,-148.1,159.3,-1549.0,265.4,7200
a1b_eval,Tx,Nm,-76.9,0.5,79.6,-159.2,175.8,7200
a1b_eval,Ty,Nm,-84.5,-0.0,86.5,-178.7,161.5,7200
a1b_eval,Tz,Nm,-20.1,-0.1,21.6,-52.9,51.2,7200
b1_1500,Fx,N,-155.8,-0.2,151.1,-538.2,407.7,7200
b1_1500,Fy,N,-156.6,1.6,168.1,-455.8,409.5,7200
b1_1500,Fz,N,-698.0,-140.1,179.9,-1118.2,441.0,7200
b1_1500,Tx,Nm,-89.6,-1.6,105.9,-165.0,173.8,7200
b1_1500,Ty,Nm,-96.2,-0.5,100.9,-192.1,176.0,7200
b1_1500,Tz,Nm,-20.0,-0.1,22.4,-44.9,68.8,7200
b1_3000,Fx,N,-140.1,-0.2,148.9,-258.9,444.7,7200
b1_3000,Fy,N,-140.9,0.1,127.5,-421.4,447.1,7200
b1_3000,Fz,N,-660.3,-160.6,209.1,-1505.4,418.3,7200
b1_3000,Tx,Nm,-85.6,-0.4,88.1,-148.7,149.8,7200
b1_3000,Ty,Nm,-97.7,-0.2,100.8,-173.0,169.0,7200
b1_3000,Tz,Nm,-24.7,-0.0,20.4,-47.7,54.3,7200
b1w2_1500,Fx,N,-147.4,-0.5,144.1,-462.0,741.6,7200
b1w2_1500,Fy,N,-145.5,0.4,146.5,-453.9,449.9,7200
b1w2_1500,Fz,N,-515.1,-166.5,184.6,-1057.6,382.7,7200
b1w2_1500,Tx,Nm,-89.2,1.9,98.8,-154.9,197.1,7200
b1w2_1500,Ty,Nm,-97.7,-1.9,94.1,-187.3,159.5,7200
b1w2_1500,Tz,Nm,-19.2,-0.0,18.9,-45.5,55.5,7200
b1w2_3000,Fx,N,-126.5,3.1,153.4,-529.0,454.2,7200
b1w2_3000,Fy,N,-135.1,2.3,139.9,-433.5,444.2,7200
b1w2_3000,Fz,N,-602.3,-155.8,222.0,-1045.2,454.5,7200
b1w2_3000,Tx,Nm,-84.3,1.8,90.8,-178.8,200.0,7200
b1w2_3000,Ty,Nm,-95.8,2.3,85.9,-187.9,139.9,7200
b1w2_3000,Tz,Nm,-17.7,-0.0,17.7,-55.5,41.4,7200
b2_1500,Fx,N,-116.7,-0.8,118.2,-445.5,352.2,7200
b2_1500,Fy,N,-102.0,-0.7,110.8,-327.7,453.0,7200
b2_1500,Fz,N,-499.8,-166.7,174.4,-664.8,288.7,7200
b2_1500,Tx,Nm,-71.3,-0.6,70.1,-129.0,135.4,7200
b2_1500,Ty,Nm,-72.5,1.1,81.6,-126.3,176.2,7200
b2_1500,Tz,Nm,-17.2,0.0,17.9,-55.4,41.9,7200
b2_3000,Fx,N,-117.8,-0.9,122.9,-462.6,403.7,7200
b2_3000,Fy,N,-127.1,-2.5,122.6,-441.2,408.4,7200
b2_3000,Fz,N,-567.8,-163.1,194.2,-779.6,472.0,7200
b2_3000,Tx,Nm,-73.1,-0.4,70.3,-137.9,145.9,7200
b2_3000,Ty,Nm,-72.5,-1.2,73.1,-157.9,147.4,7200
b2_3000,Tz,Nm,-21.8,0.0,19.8,-43.5,46.9,7200
b3_12000,Fx,N,-69.3,0.4,69.5,-168.5,168.4,7200
b3_12000,Fy,N,-63.0,-1.1,66.3,-143.7,142.6,7200
b3_12000,Fz,N,-439.7,-175.3,130.5,-562.3,224.1,7200
b3_12000,Tx,Nm,-41.1,2.1,43.3,-117.3,107.7,7200
b3_12000,Ty,Nm,-43.6,-0.7,43.3,-100.9,103.5,7200
b3_12000,Tz,Nm,-8.1,-0.1,8.9,-20.0,21.9,7200
b3_1500,Fx,N,-90.8,-1.1,76.2,-427.9,266.6,7200
b3_1500,Fy,N,-87.1,-0.3,79.9,-437.7,456.7,7200
b3_1500,Fz,N,-647.1,-155.9,124.5,-857.6,180.8,7200
b3_1500,Tx,Nm,-67.3,-0.0,64.9,-135.3,123.8,7200
b3_1500,Ty,Nm,-67.1,-2.4,75.2,-109.9,127.0,7200
b3_1500,Tz,Nm,-14.1,0.0,13.3,-44.7,40.5,7200
