regime,joint,tau_rms,tau_p99,tau_max,w_p99,w_max,tau_min_signed,tau_max_signed
gaitfix_v7,hip_pitch,16.5,57.5,82.6,29,42,-74.0,82.6
gaitfix_v7,hip_roll,28.2,71.2,114.5,37,55,-114.5,101.3
gaitfix_v7,hip_yaw,9.8,28.0,41.4,69,92,-41.4,32.9
gaitfix_v7,knee,34.8,81.1,100.1,78,116,-94.5,100.1
gaitfix_v7,ankle_pitch,33.6,69.0,69.0,43,90,-69.0,24.0
gaitfix_v7,ankle_roll,6.5,16.1,16.1,40,79,-16.1,16.1
g1vanilla,hip_pitch,36.9,103.0,138.0,30,64,-138.0,138.0
g1vanilla,hip_roll,34.6,103.3,138.0,15,64,-138.0,124.0
g1vanilla,hip_yaw,11.1,33.8,50.2,36,95,-50.2,45.4
g1vanilla,knee,30.6,92.5,138.0,98,200,-88.7,138.0
g1vanilla,ankle_pitch,43.6,69.0,69.0,184,200,-69.0,69.0
g1vanilla,ankle_roll,11.5,16.1,16.1,97,307,-16.1,16.1
g1is_tiptoe,hip_pitch,19.8,73.5,138.0,15,33,-103.4,138.0
g1is_tiptoe,hip_roll,27.4,78.0,137.2,12,38,-133.6,137.2
g1is_tiptoe,hip_yaw,5.0,15.2,44.7,18,69,-21.4,44.7
g1is_tiptoe,knee,19.9,68.8,248.4,73,111,-248.4,172.6
g1is_tiptoe,ankle_pitch,43.9,69.0,69.0,102,200,-69.0,47.9
g1is_tiptoe,ankle_roll,22.2,31.0,31.0,18,98,-31.0,23.2
humanref_v7,hip_pitch,52.4,138.0,138.0,43,60,-138.0,138.0
humanref_v7,hip_roll,44.0,138.0,138.0,42,103,-138.0,138.0
humanref_v7,hip_yaw,12.9,45.4,69.0,97,108,-69.0,69.0
humanref_v7,knee,59.0,248.4,248.4,111,112,-248.4,248.4
humanref_v7,ankle_pitch,57.8,69.0,69.0,82,171,-69.0,69.0
humanref_v7,ankle_roll,10.5,31.0,31.0,67,100,-31.0,31.0
siekmann_v8,hip_pitch,38.4,138.0,138.0,46,61,-138.0,138.0
siekmann_v8,hip_roll,30.4,94.1,138.0,26,77,-138.0,138.0
siekmann_v8,hip_yaw,9.2,35.1,69.0,34,81,-48.1,69.0
siekmann_v8,knee,32.6,115.2,248.4,76,112,-248.4,189.4
siekmann_v8,ankle_pitch,47.5,69.0,69.0,64,137,-69.0,69.0
siekmann_v8,ankle_roll,11.3,30.0,31.0,50,73,-31.0,26.7
pushoff_v9,hip_pitch,40.7,138.0,138.0,53,93,-138.0,138.0
pushoff_v9,hip_roll,33.3,138.0,138.0,45,196,-138.0,138.0
pushoff_v9,hip_yaw,10.8,34.7,69.0,39,139,-47.0,69.0
pushoff_v9,knee,43.7,224.4,248.4,86,112,-248.4,248.4
pushoff_v9,ankle_pitch,47.6,69.0,69.0,58,218,-69.0,69.0
pushoff_v9,ankle_roll,10.6,26.2,31.0,54,102,-31.0,22.6
FINAL_B3_mjlab,hip_pitch,17.1,56.4,110.0,20,33,-86.9,110.0
FINAL_B3_mjlab,hip_roll,21.2,50.8,116.9,11,20,-97.7,116.9
FINAL_B3_mjlab,hip_yaw,11.5,29.2,69.0,18,35,-69.0,43.9
FINAL_B3_mjlab,knee,44.7,94.1,138.0,42,101,-81.8,138.0
FINAL_B3_mjlab,ankle_pitch,9.4,35.7,65.1,45,122,-65.1,28.2
FINAL_B3_mjlab,ankle_roll,0.7,1.9,2.8,40,130,-2.8,2.7
stage4_rough,hip_pitch,29.3,78.1,101.9,49,63,-100.3,101.9
stage4_rough,hip_roll,36.0,78.8,129.6,27,47,-129.6,84.3
stage4_rough,hip_yaw,7.7,22.7,63.1,41,67,-63.1,58.0
stage4_rough,knee,84.0,157.1,212.0,67,71,-212.0,186.1
stage4_rough,ankle_pitch,13.2,43.9,69.0,75,146,-69.0,58.5
stage4_rough,ankle_roll,8.4,16.1,16.1,81,337,-16.1,16.1
B3_blind_rough,hip_pitch,25.4,93.8,138.0,26,90,-138.0,138.0
B3_blind_rough,hip_roll,26.5,77.9,138.0,18,55,-138.0,138.0
B3_blind_rough,hip_yaw,14.5,42.8,69.0,40,129,-69.0,69.0
B3_blind_rough,knee,47.6,138.0,138.0,73,341,-138.0,138.0
B3_blind_rough,ankle_pitch,15.3,54.9,69.0,72,189,-69.0,69.0
B3_blind_rough,ankle_roll,0.9,2.6,8.5,89,363,-2.8,8.5
R1_rough_3k,hip_pitch,31.3,121.5,138.0,33,52,-138.0,138.0
R1_rough_3k,hip_roll,23.7,65.2,124.1,16,32,-124.1,111.4
R1_rough_3k,hip_yaw,15.2,50.9,69.0,35,77,-69.0,43.2
R1_rough_3k,knee,46.6,130.6,138.0,87,187,-138.0,138.0
R1_rough_3k,ankle_pitch,10.2,30.9,63.5,69,145,-63.5,28.6
R1_rough_3k,ankle_roll,1.1,2.8,5.5,85,215,-4.0,5.5
