terrain,regime,body,F_or_M,rms,p99,max
flat,gaitfix_v7,hip_pitch_link,F,265.0,467.6,1139.7
flat,gaitfix_v7,hip_roll_link,F,270.1,479.1,1175.6
flat,gaitfix_v7,thigh_link,F,279.5,501.4,1238.6
flat,gaitfix_v7,shin_link,F,310.6,563.6,1439.9
flat,gaitfix_v7,ankle_pitch_link,F,331.9,596.6,1558.3
flat,gaitfix_v7,foot_link,F,332.8,597.7,1563.2
flat,gaitfix_v7,toe_link,F,104.5,293.4,427.3
flat,g1vanilla,hip_pitch_link,F,242.6,685.1,2283.0
flat,g1vanilla,hip_roll_link,F,249.7,698.8,2339.0
flat,g1vanilla,thigh_link,F,262.4,738.6,2417.6
flat,g1vanilla,shin_link,F,304.4,827.8,2853.9
flat,g1vanilla,ankle_pitch_link,F,334.8,886.1,3282.1
flat,g1vanilla,foot_link,F,336.5,888.4,3300.9
flat,g1vanilla,toe_link,F,144.6,343.3,1008.3
flat,g1is_tiptoe,hip_pitch_link,F,254.6,461.0,766.2
flat,g1is_tiptoe,hip_roll_link,F,260.8,470.9,787.5
flat,g1is_tiptoe,thigh_link,F,272.6,495.3,825.1
flat,g1is_tiptoe,shin_link,F,311.0,564.8,924.5
flat,g1is_tiptoe,ankle_pitch_link,F,333.9,607.1,1066.5
flat,g1is_tiptoe,foot_link,F,334.9,608.9,1080.4
flat,g1is_tiptoe,toe_link,F,4.8,18.3,126.3
flat,humanref_v7,hip_pitch_link,F,201.8,488.3,2501.3
flat,humanref_v7,hip_roll_link,F,209.1,494.8,2583.2
flat,humanref_v7,thigh_link,F,222.0,524.9,2697.5
flat,humanref_v7,shin_link,F,265.2,603.2,3512.0
flat,humanref_v7,ankle_pitch_link,F,295.2,649.6,4457.8
flat,humanref_v7,foot_link,F,296.7,656.1,4505.5
flat,humanref_v7,toe_link,F,213.0,548.3,2817.2
flat,siekmann_v8,hip_pitch_link,F,208.1,475.5,757.1
flat,siekmann_v8,hip_roll_link,F,214.7,486.0,782.5
flat,siekmann_v8,thigh_link,F,226.9,512.4,827.2
flat,siekmann_v8,shin_link,F,265.4,598.1,1108.1
flat,siekmann_v8,ankle_pitch_link,F,289.5,654.4,1395.0
flat,siekmann_v8,foot_link,F,290.6,662.6,1407.8
flat,siekmann_v8,toe_link,F,159.5,393.9,586.7
flat,pushoff_v9,hip_pitch_link,F,235.7,535.4,2470.3
flat,pushoff_v9,hip_roll_link,F,242.4,555.7,2573.8
flat,pushoff_v9,thigh_link,F,254.4,578.2,2699.2
flat,pushoff_v9,shin_link,F,295.3,635.3,4234.1
flat,pushoff_v9,ankle_pitch_link,F,327.8,684.3,6110.8
flat,pushoff_v9,foot_link,F,329.3,687.6,6192.3
flat,pushoff_v9,toe_link,F,119.3,332.2,1701.5
flat,FINAL_B3_mjlab,hip_pitch_link,F,249.0,422.2,538.6
flat,FINAL_B3_mjlab,hip_roll_link,F,254.6,434.1,553.4
flat,FINAL_B3_mjlab,thigh_link,F,265.2,455.1,580.1
flat,FINAL_B3_mjlab,shin_link,F,299.5,510.8,646.0
flat,FINAL_B3_mjlab,ankle_pitch_link,F,321.5,541.8,764.6
flat,FINAL_B3_mjlab,foot_link,F,322.4,543.9,773.7
flat,gaitfix_v7,hip_pitch_link,M,27.0,67.6,180.4
flat,gaitfix_v7,hip_roll_link,M,33.5,76.8,181.4
flat,gaitfix_v7,thigh_link,M,27.1,63.2,123.3
flat,gaitfix_v7,shin_link,M,32.2,70.5,86.5
flat,gaitfix_v7,ankle_pitch_link,M,28.1,60.3,63.9
flat,gaitfix_v7,foot_link,M,29.1,62.0,65.6
flat,gaitfix_v7,toe_link,M,3.5,10.9,21.0
flat,g1vanilla,hip_pitch_link,M,44.4,112.6,181.2
flat,g1vanilla,hip_roll_link,M,47.7,113.8,204.9
flat,g1vanilla,thigh_link,M,39.0,98.2,157.8
flat,g1vanilla,shin_link,M,31.0,91.2,126.8
flat,g1vanilla,ankle_pitch_link,M,36.2,64.5,97.6
flat,g1vanilla,foot_link,M,37.0,65.9,103.3
flat,g1vanilla,toe_link,M,6.1,16.8,41.6
flat,g1is_tiptoe,hip_pitch_link,M,27.0,88.7,163.0
flat,g1is_tiptoe,hip_roll_link,M,33.2,83.9,153.1
flat,g1is_tiptoe,thigh_link,M,26.7,81.6,138.8
flat,g1is_tiptoe,shin_link,M,18.8,55.1,155.0
flat,g1is_tiptoe,ankle_pitch_link,M,36.1,61.3,66.1
flat,g1is_tiptoe,foot_link,M,37.0,62.6,69.4
flat,g1is_tiptoe,toe_link,M,0.1,0.3,3.1
flat,humanref_v7,hip_pitch_link,M,61.3,145.0,404.8
flat,humanref_v7,hip_roll_link,M,63.4,142.3,412.6
flat,humanref_v7,thigh_link,M,54.3,138.6,417.5
flat,humanref_v7,shin_link,M,49.8,165.1,366.5
flat,humanref_v7,ankle_pitch_link,M,50.9,65.5,164.7
flat,humanref_v7,foot_link,M,51.7,67.3,165.0
flat,humanref_v7,toe_link,M,12.9,20.8,55.3
flat,siekmann_v8,hip_pitch_link,M,41.7,120.7,155.2
flat,siekmann_v8,hip_roll_link,M,42.5,112.8,143.9
flat,siekmann_v8,thigh_link,M,37.8,117.2,157.8
flat,siekmann_v8,shin_link,M,30.5,91.9,155.0
flat,siekmann_v8,ankle_pitch_link,M,40.3,64.0,70.7
flat,siekmann_v8,foot_link,M,41.1,65.5,73.7
flat,siekmann_v8,toe_link,M,7.4,19.1,22.2
flat,pushoff_v9,hip_pitch_link,M,49.5,136.5,862.2
flat,pushoff_v9,hip_roll_link,M,47.8,130.1,802.0
flat,pushoff_v9,thigh_link,M,44.7,138.2,681.9
flat,pushoff_v9,shin_link,M,39.6,126.4,328.6
flat,pushoff_v9,ankle_pitch_link,M,41.9,64.4,515.2
flat,pushoff_v9,foot_link,M,42.9,66.2,522.3
flat,pushoff_v9,toe_link,M,6.0,18.8,39.1
flat,FINAL_B3_mjlab,hip_pitch_link,M,23.4,70.1,131.0
flat,FINAL_B3_mjlab,hip_roll_link,M,23.5,71.1,132.3
flat,FINAL_B3_mjlab,thigh_link,M,23.9,72.6,133.6
flat,FINAL_B3_mjlab,shin_link,M,25.7,82.0,164.8
flat,FINAL_B3_mjlab,ankle_pitch_link,M,29.9,105.6,291.3
flat,FINAL_B3_mjlab,foot_link,M,29.9,105.5,292.8
rough,stage4_rough,hip_pitch_link,F,380.2,1421.4,4751.6
rough,stage4_rough,hip_roll_link,F,389.1,1493.3,4912.5
rough,stage4_rough,thigh_link,F,404.4,1563.4,5202.8
rough,stage4_rough,shin_link,F,454.1,1867.3,6076.0
rough,stage4_rough,ankle_pitch_link,F,490.4,2039.7,6574.9
rough,stage4_rough,foot_link,F,492.1,2051.6,6596.4
rough,stage4_rough,toe_link,F,56.7,220.5,829.0
rough,B3_blind_rough,hip_pitch_link,F,257.0,513.7,863.0
rough,B3_blind_rough,hip_roll_link,F,263.1,531.9,893.7
rough,B3_blind_rough,thigh_link,F,274.1,557.4,950.2
rough,B3_blind_rough,shin_link,F,308.0,627.6,1249.7
rough,B3_blind_rough,ankle_pitch_link,F,333.2,712.1,1759.5
rough,B3_blind_rough,foot_link,F,334.3,713.8,1783.6
rough,R1_rough_3k,hip_pitch_link,F,255.4,606.7,969.8
rough,R1_rough_3k,hip_roll_link,F,261.5,630.2,995.1
rough,R1_rough_3k,thigh_link,F,272.5,666.5,1037.3
rough,R1_rough_3k,shin_link,F,305.9,724.3,1234.7
rough,R1_rough_3k,ankle_pitch_link,F,327.6,759.1,1422.3
rough,R1_rough_3k,foot_link,F,328.5,762.2,1430.6
rough,stage4_rough,hip_pitch_link,M,38.0,80.8,169.0
rough,stage4_rough,hip_roll_link,M,47.0,126.9,310.5
rough,stage4_rough,thigh_link,M,35.9,79.7,155.0
rough,stage4_rough,shin_link,M,41.2,148.4,420.0
rough,stage4_rough,ankle_pitch_link,M,16.3,43.5,197.4
rough,stage4_rough,foot_link,M,17.0,46.5,201.6
rough,stage4_rough,toe_link,M,2.1,7.6,35.7
rough,B3_blind_rough,hip_pitch_link,M,35.3,110.9,250.3
rough,B3_blind_rough,hip_roll_link,M,35.5,111.2,254.6
rough,B3_blind_rough,thigh_link,M,35.9,112.8,261.4
rough,B3_blind_rough,shin_link,M,38.7,124.9,251.2
rough,B3_blind_rough,ankle_pitch_link,M,44.8,161.8,526.9
rough,B3_blind_rough,foot_link,M,44.6,153.2,537.3
rough,R1_rough_3k,hip_pitch_link,M,38.5,111.4,155.1
rough,R1_rough_3k,hip_roll_link,M,38.8,111.6,155.7
rough,R1_rough_3k,thigh_link,M,39.5,113.3,158.4
rough,R1_rough_3k,shin_link,M,43.0,121.7,281.5
rough,R1_rough_3k,ankle_pitch_link,M,47.3,143.7,666.9
rough,R1_rough_3k,foot_link,M,47.2,144.5,709.6
