dataset,comp,unit,p1,p50,p99,min,max,n
Bbase_kd6,F_axial,N,-131.6,160.9,557.1,-270.7,829.9,5100
Bbase_kd6,F_radial,N,5.0,33.3,185.7,0.5,321.0,5100
Bbase_kd6,M_torsion,Nm,-11.1,0.1,11.1,-23.7,25.7,5100
Bbase_kd6,M_bend,Nm,1.9,18.1,84.8,0.2,138.0,5100
Cbm_kd14,F_axial,N,-299.0,146.0,783.5,-2182.3,2432.3,5100
Cbm_kd14,F_radial,N,8.3,54.5,377.2,1.0,1646.3,5100
Cbm_kd14,M_torsion,Nm,-43.0,-0.0,45.2,-165.6,175.4,5100
Cbm_kd14,M_bend,Nm,2.7,33.8,178.9,0.7,905.9,5100
b3_demo,F_axial,N,-110.8,182.0,416.3,-152.3,475.8,2640
b3_demo,F_radial,N,7.9,56.0,138.1,2.3,186.0,2640
b3_demo,M_torsion,Nm,-9.2,0.2,9.9,-18.6,29.5,2640
b3_demo,M_bend,Nm,2.1,14.1,52.6,0.3,106.4,2640
c1_final,F_axial,N,-132.0,180.7,427.7,-229.6,560.2,14400
c1_final,F_radial,N,5.6,56.9,173.2,0.3,320.5,14400
c1_final,M_torsion,Nm,-15.0,0.1,15.2,-38.1,37.7,14400
c1_final,M_bend,Nm,2.5,15.7,78.8,0.3,133.3,14400
worstcase_rough,F_axial,N,-233.3,149.1,671.4,-2948.2,3563.1,14400
worstcase_rough,F_radial,N,3.7,51.8,342.0,0.3,2702.5,14400
worstcase_rough,M_torsion,Nm,-23.9,0.2,25.5,-469.7,561.2,14400
worstcase_rough,M_bend,Nm,3.0,24.7,148.8,0.0,1534.6,14400
