regime,joint,tau_rms,tau_p99,tau_max,w_p99,w_max,tau_min_signed,tau_max_signed
g1vanilla,hip_pitch,36.9,103.0,138.0,30,64,-138.0,138.0
g1vanilla,hip_roll,34.6,103.3,138.0,15,64,-138.0,124.0
g1vanilla,hip_yaw,11.1,33.8,50.2,36,95,-50.2,45.4
g1vanilla,knee,30.6,92.5,138.0,98,200,-88.7,138.0
g1vanilla,ankle_pitch,43.6,69.0,69.0,184,200,-69.0,69.0
g1vanilla,ankle_roll,11.5,16.1,16.1,97,307,-16.1,16.1
pushoff_v9,hip_pitch,40.7,138.0,138.0,53,93,-138.0,138.0
pushoff_v9,hip_roll,33.3,138.0,138.0,45,196,-138.0,138.0
pushoff_v9,hip_yaw,10.8,34.7,69.0,39,139,-47.0,69.0
pushoff_v9,knee,43.7,224.4,248.4,86,112,-248.4,248.4
pushoff_v9,ankle_pitch,47.6,69.0,69.0,58,218,-69.0,69.0
pushoff_v9,ankle_roll,10.6,26.2,31.0,54,102,-31.0,22.6
P2_final_flat,hip_pitch,17.6,61.3,127.3,26,45,-85.7,127.3
P2_final_flat,hip_roll,27.9,59.2,138.0,12,25,-138.0,84.9
P2_final_flat,hip_yaw,6.3,22.9,47.5,28,67,-47.5,27.1
P2_final_flat,knee,17.0,48.8,138.0,68,129,-84.1,138.0
P2_final_flat,ankle_pitch,15.8,66.1,91.6,75,170,-91.6,34.0
P2_final_flat,ankle_roll,3.8,13.7,26.8,39,144,-26.8,24.7
bent_kd6,hip_pitch,21.1,78.6,131.9,29,42,-101.8,131.9
bent_kd6,hip_roll,18.7,45.0,64.4,12,21,-64.4,40.7
bent_kd6,hip_yaw,11.3,36.4,45.8,25,47,-45.8,21.9
bent_kd6,knee,33.1,82.9,120.0,86,139,-57.1,120.0
bent_kd6,ankle_pitch,22.8,63.7,101.7,68,108,-101.7,25.8
bent_kd6,ankle_roll,2.2,8.0,14.1,18,61,-14.1,13.1
knee220,hip_pitch,15.8,65.6,90.4,16,23,-90.4,82.9
knee220,hip_roll,25.8,59.4,102.6,8,12,-102.6,45.7
knee220,hip_yaw,3.5,11.4,31.2,15,34,-31.2,14.8
knee220,knee,24.9,60.2,112.0,50,72,-37.4,112.0
knee220,ankle_pitch,15.6,53.4,72.9,44,89,-72.9,26.7
knee220,ankle_roll,3.6,14.1,19.0,27,81,-16.8,19.0
stage4_rough,hip_pitch,29.3,78.1,101.9,49,63,-100.3,101.9
stage4_rough,hip_roll,36.0,78.8,129.6,27,47,-129.6,84.3
stage4_rough,hip_yaw,7.7,22.7,63.1,41,67,-63.1,58.0
stage4_rough,knee,84.0,157.1,212.0,67,71,-212.0,186.1
stage4_rough,ankle_pitch,13.2,43.9,69.0,75,146,-69.0,58.5
stage4_rough,ankle_roll,8.4,16.1,16.1,81,337,-16.1,16.1
R2_rough_40k,hip_pitch,22.1,65.4,138.0,17,49,-123.8,138.0
R2_rough_40k,hip_roll,22.5,56.0,103.8,15,40,-94.4,103.8
R2_rough_40k,hip_yaw,12.8,33.6,69.0,32,100,-69.0,53.1
R2_rough_40k,knee,42.5,102.2,138.0,51,151,-68.6,138.0
R2_rough_40k,ankle_pitch,9.0,25.6,37.3,41,118,-37.3,32.8
R2_rough_40k,ankle_roll,5.1,16.7,26.9,38,93,-22.7,26.9
roughP2_final,hip_pitch,18.9,61.2,130.4,33,71,-130.4,121.4
roughP2_final,hip_roll,27.0,68.0,137.3,21,52,-137.3,74.9
roughP2_final,hip_yaw,9.6,27.5,69.0,44,94,-64.0,69.0
roughP2_final,knee,30.5,110.4,138.0,89,262,-67.9,138.0
roughP2_final,ankle_pitch,9.5,30.0,68.4,85,153,-68.4,33.9
roughP2_final,ankle_roll,4.9,15.9,37.6,53,146,-26.2,37.6
