terrain,regime,body,F_or_M,rms,p99,max
flat,g1vanilla,hip_pitch_link,F,242.6,685.1,2283.0
flat,g1vanilla,hip_roll_link,F,249.7,698.8,2339.0
flat,g1vanilla,thigh_link,F,262.4,738.6,2417.6
flat,g1vanilla,shin_link,F,304.4,827.8,2853.9
flat,g1vanilla,ankle_pitch_link,F,334.8,886.1,3282.1
flat,g1vanilla,foot_link,F,336.5,888.4,3300.9
flat,g1vanilla,toe_link,F,144.6,343.3,1008.3
flat,pushoff_v9,hip_pitch_link,F,235.7,535.4,2470.3
flat,pushoff_v9,hip_roll_link,F,242.4,555.7,2573.8
flat,pushoff_v9,thigh_link,F,254.4,578.2,2699.2
flat,pushoff_v9,shin_link,F,295.3,635.3,4234.1
flat,pushoff_v9,ankle_pitch_link,F,327.8,684.3,6110.8
flat,pushoff_v9,foot_link,F,329.3,687.6,6192.3
flat,pushoff_v9,toe_link,F,119.3,332.2,1701.5
flat,P2_final_flat,hip_pitch_link,F,264.4,513.7,1887.5
flat,P2_final_flat,hip_roll_link,F,269.7,526.5,1954.0
flat,P2_final_flat,thigh_link,F,279.2,549.3,2068.2
flat,P2_final_flat,shin_link,F,310.9,611.8,2455.0
flat,P2_final_flat,ankle_pitch_link,F,332.4,656.0,2680.7
flat,P2_final_flat,foot_link,F,333.3,657.3,2689.9
flat,bent_kd6,hip_pitch_link,F,234.1,454.6,535.3
flat,bent_kd6,hip_roll_link,F,240.0,466.6,548.3
flat,bent_kd6,thigh_link,F,251.0,487.4,569.1
flat,bent_kd6,shin_link,F,286.4,535.5,619.5
flat,bent_kd6,ankle_pitch_link,F,309.1,565.7,703.1
flat,bent_kd6,foot_link,F,310.1,567.1,707.2
flat,knee220,hip_pitch_link,F,258.1,450.9,752.7
flat,knee220,hip_roll_link,F,263.4,462.3,774.4
flat,knee220,thigh_link,F,273.5,483.0,814.1
flat,knee220,shin_link,F,306.3,541.4,922.7
flat,knee220,ankle_pitch_link,F,326.8,575.8,985.8
flat,knee220,foot_link,F,327.6,576.9,988.1
flat,g1vanilla,hip_pitch_link,M,44.4,112.6,181.2
flat,g1vanilla,hip_roll_link,M,47.7,113.8,204.9
flat,g1vanilla,thigh_link,M,39.0,98.2,157.8
flat,g1vanilla,shin_link,M,31.0,91.2,126.8
flat,g1vanilla,ankle_pitch_link,M,36.2,64.5,97.6
flat,g1vanilla,foot_link,M,37.0,65.9,103.3
flat,g1vanilla,toe_link,M,6.1,16.8,41.6
flat,pushoff_v9,hip_pitch_link,M,49.5,136.5,862.2
flat,pushoff_v9,hip_roll_link,M,47.8,130.1,802.0
flat,pushoff_v9,thigh_link,M,44.7,138.2,681.9
flat,pushoff_v9,shin_link,M,39.6,126.4,328.6
flat,pushoff_v9,ankle_pitch_link,M,41.9,64.4,515.2
flat,pushoff_v9,foot_link,M,42.9,66.2,522.3
flat,pushoff_v9,toe_link,M,6.0,18.8,39.1
flat,P2_final_flat,hip_pitch_link,M,25.0,78.4,190.6
flat,P2_final_flat,hip_roll_link,M,25.0,79.6,197.5
flat,P2_final_flat,thigh_link,M,25.0,81.1,205.4
flat,P2_final_flat,shin_link,M,27.2,95.9,246.4
flat,P2_final_flat,ankle_pitch_link,M,30.7,119.6,451.2
flat,P2_final_flat,foot_link,M,30.4,119.8,456.9
flat,bent_kd6,hip_pitch_link,M,23.6,69.6,119.6
flat,bent_kd6,hip_roll_link,M,23.8,69.8,119.9
flat,bent_kd6,thigh_link,M,24.2,70.5,120.9
flat,bent_kd6,shin_link,M,27.3,89.4,162.9
flat,bent_kd6,ankle_pitch_link,M,27.9,87.9,196.1
flat,bent_kd6,foot_link,M,27.5,85.2,197.0
flat,knee220,hip_pitch_link,M,21.7,63.3,93.4
flat,knee220,hip_roll_link,M,21.8,63.6,95.1
flat,knee220,thigh_link,M,22.0,64.1,97.5
flat,knee220,shin_link,M,24.3,70.9,144.0
flat,knee220,ankle_pitch_link,M,26.9,97.5,166.4
flat,knee220,foot_link,M,27.0,99.7,172.3
rough,stage4_rough,hip_pitch_link,F,380.2,1421.4,4751.6
rough,stage4_rough,hip_roll_link,F,389.1,1493.3,4912.5
rough,stage4_rough,thigh_link,F,404.4,1563.4,5202.8
rough,stage4_rough,shin_link,F,454.1,1867.3,6076.0
rough,stage4_rough,ankle_pitch_link,F,490.4,2039.7,6574.9
rough,stage4_rough,foot_link,F,492.1,2051.6,6596.4
rough,stage4_rough,toe_link,F,56.7,220.5,829.0
rough,R2_rough_40k,hip_pitch_link,F,256.7,468.9,652.1
rough,R2_rough_40k,hip_roll_link,F,262.2,482.5,671.6
rough,R2_rough_40k,thigh_link,F,272.5,504.2,707.2
rough,R2_rough_40k,shin_link,F,306.3,569.0,1331.0
rough,R2_rough_40k,ankle_pitch_link,F,329.4,607.2,2120.0
rough,R2_rough_40k,foot_link,F,330.4,608.5,2153.4
