cycle_pct,angle_deg_dorsi_pos,moment_Nmkg_plantar_pos
0,2.9914,-0.0944
1,1.7356,-0.1089
2,0.6774,-0.1130
3,-0.0179,-0.1054
4,-0.2794,-0.0865
5,-0.1144,-0.0582
6,0.4092,-0.0234
7,1.2010,0.0151
8,2.1543,0.0549
9,3.1873,0.0942
10,4.2386,0.1319
11,5.2522,0.1678
12,6.2233,0.2018
13,7.1169,0.2344
14,7.9430,0.2658
15,8.6996,0.2962
16,9.3886,0.3257
17,10.0219,0.3544
18,10.5975,0.3822
19,11.1286,0.4094
20,11.6196,0.4361
21,12.0780,0.4628
22,12.5083,0.4897
23,12.9227,0.5172
24,13.3297,0.5459
25,13.7318,0.5759
26,14.1383,0.6076
27,14.5572,0.6413
28,14.9843,0.6771
29,15.4237,0.7154
30,15.8702,0.7562
31,16.3269,0.7998
32,16.7894,0.8461
33,17.2541,0.8952
34,17.7212,0.9466
35,18.1829,1.0002
36,18.6423,1.0554
37,19.0844,1.1116
38,19.5101,1.1681
39,19.9136,1.2240
40,20.2814,1.2784
41,20.6092,1.3300
42,20.8790,1.3774
43,21.0728,1.4187
44,21.1882,1.4518
45,21.1918,1.4745
46,21.0672,1.4841
47,20.7742,1.4774
48,20.3079,1.4514
49,19.6344,1.4033
50,18.6841,1.3309
51,17.4304,1.2332
52,15.8169,1.1115
53,13.8192,0.9692
54,11.4473,0.8123
55,8.7397,0.6492
56,5.7760,0.4891
57,2.6831,0.3415
58,-0.3730,0.2141
59,-3.2188,0.1118
60,-5.6709,0.0361
61,-7.5849,-0.0148
62,-8.8628,-0.0448
63,-9.4679,-0.0586
64,-9.4335,-0.0614
65,-8.8514,-0.0575
66,-7.8558,-0.0504
67,-6.5750,-0.0425
68,-5.1415,-0.0351
69,-3.6445,-0.0291
70,-2.1569,-0.0245
71,-0.7425,-0.0214
72,0.5851,-0.0195
73,1.7962,-0.0188
74,2.8862,-0.0190
75,3.8410,-0.0200
76,4.6784,-0.0215
77,5.3904,-0.0234
78,5.9800,-0.0253
79,6.4391,-0.0272
80,6.7805,-0.0290
81,7.0044,-0.0306
82,7.1214,-0.0319
83,7.1415,-0.0326
84,7.0720,-0.0327
85,6.9351,-0.0320
86,6.7508,-0.0303
87,6.5448,-0.0276
88,6.3391,-0.0239
89,6.1731,-0.0196
90,6.0606,-0.0148
91,6.0305,-0.0103
92,6.0738,-0.0065
93,6.1690,-0.0043
94,6.2734,-0.0045
95,6.3302,-0.0080
96,6.2588,-0.0154
97,5.9939,-0.0272
98,5.4737,-0.0435
99,4.6632,-0.0638
100,3.5775,-0.0854
