cycle_pct,angle_deg_dorsi_pos,moment_Nmkg_plantar_pos
0,1.7549,0.0054
1,1.4838,-0.0062
2,0.6147,-0.0308
3,-0.8587,-0.0658
4,-2.5381,-0.0996
5,-3.8502,-0.1205
6,-4.4375,-0.1252
7,-4.2832,-0.1163
8,-3.5969,-0.0973
9,-2.6307,-0.0722
10,-1.5695,-0.0446
11,-0.5228,-0.0164
12,0.4555,0.0116
13,1.3485,0.0393
14,2.1582,0.067
15,2.8933,0.0952
16,3.5636,0.1239
17,4.177,0.1533
18,4.7401,0.1833
19,5.257,0.2135
20,5.7306,0.244
21,6.1627,0.2743
22,6.556,0.3043
23,6.9141,0.3341
24,7.2428,0.3637
25,7.5504,0.3936
26,7.8466,0.4239
27,8.1405,0.4551
28,8.4377,0.4876
29,8.7396,0.5218
30,9.0452,0.558
31,9.3539,0.5965
32,9.6666,0.6375
33,9.9859,0.6813
34,10.315,0.728
35,10.6554,0.7777
36,11.0065,0.8304
37,11.3643,0.8859
38,11.7209,0.9436
39,12.0671,1.0031
40,12.3937,1.0634
41,12.6924,1.1237
42,12.9553,1.1826
43,13.1737,1.2386
44,13.3386,1.29
45,13.44,1.3346
46,13.4675,1.3706
47,13.4102,1.3958
48,13.2553,1.4086
49,12.9876,1.407
50,12.5893,1.3891
51,12.0377,1.3523
52,11.3021,1.2937
53,10.3426,1.21
54,9.114,1.0993
55,7.5732,0.9622
56,5.6868,0.8028
57,3.4437,0.6297
58,0.8797,0.4555
59,-1.8955,0.2962
60,-4.6924,0.1655
61,-7.2704,0.0692
62,-9.396,0.0083
63,-10.9018,-0.021
64,-11.7091,-0.0301
65,-11.8206,-0.031
66,-11.3143,-0.0284
67,-10.3298,-0.0244
68,-9.0334,-0.0203
69,-7.5764,-0.0167
70,-6.0666,-0.0141
71,-4.5647,-0.0124
72,-3.1003,-0.0113
73,-1.6897,-0.0106
74,-0.3474,-0.0102
75,0.9101,-0.01
76,2.0667,-0.0101
77,3.1116,-0.0104
78,4.0402,-0.0109
79,4.8504,-0.0116
80,5.5377,-0.0123
81,6.0962,-0.0132
82,6.5209,-0.0142
83,6.8093,-0.0154
84,6.9597,-0.0165
85,6.9693,-0.0177
86,6.8339,-0.0189
87,6.5507,-0.0198
88,6.1237,-0.0205
89,5.5694,-0.0206
90,4.9193,-0.02
91,4.2189,-0.0184
92,3.5215,-0.0158
93,2.8797,-0.012
94,2.3379,-0.0074
95,1.9284,-0.0022
96,1.6724,0.0027
97,1.576,0.0064
98,1.6228,0.0082
99,1.7606,0.0074
100,1.8801,0.0075
