cycle_pct,angle_deg_dorsi_pos,moment_Nmkg_plantar_pos
0,-5.6927,-0.0444
1,-6.3752,-0.0512
2,-7.5375,-0.0568
3,-8.6508,-0.0601
4,-9.2886,-0.0605
5,-9.354,-0.0574
6,-9.0141,-0.0505
7,-8.4316,-0.0396
8,-7.6805,-0.0251
9,-6.7868,-0.007
10,-5.8257,0.0138
11,-4.867,0.0372
12,-3.9632,0.0625
13,-3.115,0.0893
14,-2.3248,0.1173
15,-1.5806,0.1462
16,-0.8908,0.1759
17,-0.2669,0.2062
18,0.3014,0.2373
19,0.8153,0.2689
20,1.2819,0.3013
21,1.7066,0.3344
22,2.1135,0.3682
23,2.5105,0.4029
24,2.9004,0.4384
25,3.2932,0.4749
26,3.6769,0.5124
27,4.0483,0.551
28,4.4021,0.5908
29,4.7389,0.6319
30,5.0661,0.6743
31,5.393,0.7182
32,5.7377,0.7633
33,6.1084,0.8098
34,6.5016,0.8572
35,6.8967,0.9053
36,7.267,0.9536
37,7.6104,1.0015
38,7.9347,1.0482
39,8.2429,1.0929
40,8.5011,1.1344
41,8.6922,1.1716
42,8.7817,1.2029
43,8.7661,1.2273
44,8.6284,1.2428
45,8.3533,1.2485
46,7.9234,1.2427
47,7.3153,1.2242
48,6.5072,1.1924
49,5.4751,1.1467
50,4.2101,1.0878
51,2.6685,1.0154
52,0.8575,0.9321
53,-1.2475,0.8399
54,-3.6515,0.7416
55,-6.3329,0.6406
56,-9.2372,0.5404
57,-12.2507,0.4441
58,-15.1687,0.355
59,-17.7583,0.2751
60,-19.8091,0.2063
61,-21.2872,0.1489
62,-22.2338,0.103
63,-22.6656,0.0676
64,-22.4943,0.0415
65,-21.6875,0.0229
66,-20.3388,0.0106
67,-18.661,0.0025
68,-16.8288,-0.0023
69,-14.963,-0.005
70,-13.1296,-0.0063
71,-11.351,-0.007
72,-9.6692,-0.0072
73,-8.1387,-0.0074
74,-6.7834,-0.0075
75,-5.5827,-0.0076
76,-4.5497,-0.0078
77,-3.6989,-0.0081
78,-3.0255,-0.0085
79,-2.4846,-0.0088
80,-2.0395,-0.0092
81,-1.69,-0.0094
82,-1.4524,-0.0097
83,-1.3459,-0.0098
84,-1.3727,-0.0097
85,-1.537,-0.0095
86,-1.8251,-0.0092
87,-2.2041,-0.0087
88,-2.6364,-0.008
89,-3.0875,-0.0072
90,-3.5076,-0.0063
91,-3.898,-0.0054
92,-4.2567,-0.0046
93,-4.5724,-0.0039
94,-4.8389,-0.0034
95,-5.0806,-0.0031
96,-5.2827,-0.0031
97,-5.4259,-0.0034
98,-5.5152,-0.0039
99,-5.5395,-0.0046
100,-5.7821,-0.0053
