cycle_pct,angle_deg_dorsi_pos,moment_Nmkg_plantar_pos
0.0,-3.8244,-0.0034
1.0,-4.6958,-0.0163
2.0,-5.6105,-0.0387
3.0,-6.4900,-0.0613
4.0,-7.2502,-0.0780
5.0,-7.8150,-0.0844
6.0,-8.1335,-0.0795
7.0,-8.1841,-0.0655
8.0,-7.9729,-0.0457
9.0,-7.5307,-0.0227
10.0,-6.9057,0.0018
11.0,-6.1533,0.0268
12.0,-5.3311,0.0521
13.0,-4.4899,0.0781
14.0,-3.6709,0.1053
15.0,-2.9033,0.1334
16.0,-2.2045,0.1624
17.0,-1.5811,0.1918
18.0,-1.0319,0.2214
19.0,-0.5492,0.2509
20.0,-0.1225,0.2799
21.0,0.2596,0.3084
22.0,0.6097,0.3362
23.0,0.9391,0.3633
24.0,1.2573,0.3900
25.0,1.5725,0.4164
26.0,1.8911,0.4428
27.0,2.2172,0.4695
28.0,2.5536,0.4968
29.0,2.9011,0.5249
30.0,3.2594,0.5541
31.0,3.6273,0.5846
32.0,4.0033,0.6165
33.0,4.3861,0.6500
34.0,4.7746,0.6852
35.0,5.1683,0.7223
36.0,5.5671,0.7614
37.0,5.9714,0.8026
38.0,6.3811,0.8459
39.0,6.7958,0.8910
40.0,7.2140,0.9376
41.0,7.6332,0.9849
42.0,8.0487,1.0319
43.0,8.4537,1.0775
44.0,8.8380,1.1200
45.0,9.1882,1.1580
46.0,9.4863,1.1895
47.0,9.7098,1.2135
48.0,9.8308,1.2274
49.0,9.8161,1.2302
50.0,9.6290,1.2196
51.0,9.2175,1.1923
52.0,8.5444,1.1475
53.0,7.5628,1.0817
54.0,6.2338,0.9932
55.0,4.5321,0.8831
56.0,2.4535,0.7550
57.0,0.0317,0.6146
58.0,-2.6571,0.4712
59.0,-5.4909,0.3354
60.0,-8.3139,0.2167
61.0,-10.9476,0.1221
62.0,-13.2342,0.0566
63.0,-15.0440,0.0210
64.0,-16.2936,0.0053
65.0,-16.9487,0.0008
66.0,-17.0215,0.0002
67.0,-16.5590,0.0000
68.0,-15.6291,0.0000
69.0,-14.3272,0.0000
70.0,-12.7525,0.0000
71.0,-11.0063,0.0000
72.0,-9.1864,0.0000
73.0,-7.3811,0.0000
74.0,-5.6603,0.0000
75.0,-4.0746,0.0000
76.0,-2.6584,0.0000
77.0,-1.4249,0.0000
78.0,-0.3776,0.0000
79.0,0.4877,0.0000
80.0,1.1791,0.0000
81.0,1.7035,0.0000
82.0,2.0705,0.0000
83.0,2.2872,0.0000
84.0,2.3580,0.0000
85.0,2.2895,0.0000
86.0,2.0902,0.0000
87.0,1.7762,0.0000
88.0,1.3736,0.0000
89.0,0.9152,0.0000
90.0,0.4374,0.0000
91.0,-0.0262,0.0000
92.0,-0.4512,0.0000
93.0,-0.8255,0.0000
94.0,-1.1517,0.0000
95.0,-1.4477,0.0000
96.0,-1.7437,0.0000
97.0,-2.0805,0.0000
98.0,-2.4998,0.0000
99.0,-3.0337,0.0000
100.0,-3.6987,0.0000
