cycle_pct,angle_deg_dorsi_pos,moment_Nmkg_plantar_pos
0,-2.0993,-0.0022
2,-3.8715,-0.0826
4,-5.5515,-0.1279
6,-5.5942,-0.1096
8,-4.1218,-0.0622
10,-2.1102,0.0022
12,-0.1777,0.0641
14,1.4924,0.1234
16,2.9183,0.1844
18,4.1474,0.2483
20,5.1949,0.313
22,6.0675,0.3751
24,6.7945,0.4355
26,7.4275,0.4962
28,8.01,0.5579
30,8.5746,0.6219
32,9.1403,0.689
34,9.6877,0.7603
36,10.2104,0.8363
38,10.697,0.9174
40,11.1465,1.0013
42,11.535,1.0841
44,11.8077,1.1586
46,11.8397,1.2116
48,11.4516,1.2261
50,10.404,1.1862
52,8.3742,1.0726
54,4.9455,0.8614
56,-0.227,0.5621
58,-6.9215,0.2533
60,-13.7781,0.0523
62,-18.5495,-0.0229
64,-19.785,-0.0329
66,-17.9964,-0.0258
68,-14.7363,-0.0178
70,-11.1944,-0.0128
72,-7.8656,-0.0104
74,-4.8896,-0.0096
76,-2.3601,-0.0097
78,-0.3405,-0.0104
80,1.1467,-0.0116
82,2.0982,-0.0129
84,2.5014,-0.0143
86,2.3664,-0.0154
88,1.7862,-0.0155
90,0.9657,-0.0136
92,0.1152,-0.0093
94,-0.5949,-0.0036
96,-1.0771,0.0013
98,-1.4488,0.0033
100,-2.32,-0.0008
