host_monotonic_ns,host_dt_ms,sensor_ms,sensor_dt_ms,gravity_x,gravity_y,gravity_z,gravity_norm,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_mps2,accel_y_mps2,accel_z_mps2,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,temp_c
76254962456370,,52321.0,,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76254972461520,10.00515,52331.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76254982287886,9.826366,52341.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76254992395674,10.107788,52351.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255002444162,10.048488,52361.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.669356899999999,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255012414914,9.970752,52371.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255022353580,9.938666,52381.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255032456425,10.102845,52391.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.669356899999999,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255042466172,10.009747,52401.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255052460443,9.994271,52411.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255062350642,9.890199,52421.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.669356899999999,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255072595309,10.244667,52431.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255082359307,9.763998,52441.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255092429527,10.07022,52451.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255102470713,10.041186,52461.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255112461150,9.990437,52471.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255122311779,9.850629,52481.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255132410762,10.098983,52491.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.669356899999999,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255142458161,10.047399,52501.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255152452076,9.993915,52511.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.669356899999999,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255162401908,9.949832,52521.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255172400297,9.998389,52531.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255182347500,9.947203,52541.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.69877685,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255192457376,10.109876,52551.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255202461271,10.003895,52561.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255212545897,10.084626,52571.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255222477273,9.931376,52581.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255232331174,9.853901,52591.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255242463715,10.132541,52601.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255252556126,10.092411,52611.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255262380746,9.82462,52621.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3925442999999997,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255282318015,19.937269,52641.0,20.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.669356899999999,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255292290755,9.97274,52651.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
76255302300121,10.009366,52661.0,10.0,-0.14041466,-0.07312072,-0.98738918,1.0000001546086412,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6586,-0.0771,0.019,-0.7483,4.235285636782925,-8.071841536903616,96.99790875462816,31.2
